id,hour,min,sec,ms,xpos,ypos,zpos,junk,junk,junk,junk,junk,junk,keyPressed,isDown,keyDirection
0,17,18,46,11,80.9, 17.6, 134.0,0.0, 84.8, 0.0,50.4, 350.9, 1.2,up,True,up
1,17,18,46,406,82.9, 17.4, 134.1,0.0, 84.5, 0.0,51.0, 350.6, 1.2,up,False,still
2,17,18,47,645,84.1, 17.2, 134.6,0.0, 359.9, 0.0,41.1, 265.8, 1.0,up,True,up
3,17,18,47,831,84.0, 17.2, 135.5,0.0, 336.5, 0.0,46.8, 242.5, 1.1,right,True,up-right
4,17,18,48,82,83.8, 17.2, 136.8,0.0, 315.8, 0.0,48.3, 221.9, 1.2,right,False,up
5,17,18,48,400,82.7, 17.4, 137.7,0.0, 289.4, 0.0,53.1, 195.6, 1.3,right,True,up-right
6,17,18,48,553,82.1, 17.6, 138.2,0.0, 284.8, 0.0,54.8, 191.1, 1.3,right,False,up
7,17,18,48,861,80.6, 17.9, 138.6,0.0, 286.1, 0.0,55.8, 192.4, 1.4,left,True,up-left
8,17,18,49,739,76.4, 17.9, 138.3,0.0, 338.0, 0.0,42.3, 243.9, 1.0,up,False,left
9,17,18,49,787,76.1, 17.9, 138.4,0.0, 339.5, 0.0,41.0, 245.4, 1.0,up,True,up-left
10,17,18,50,50,75.0, 17.9, 139.1,0.0, 347.7, 0.0,34.7, 253.4, 0.9,left,False,up
11,17,18,50,387,74.1, 18.1, 140.4,0.0, 8.4, 0.0,30.8, 274.1, 0.9,left,True,up-left
12,17,18,50,469,74.1, 18.2, 140.8,0.0, 24.7, 0.0,25.7, 290.3, 0.9,up,False,left
13,17,18,50,546,74.0, 18.2, 141.2,0.0, 33.8, 0.0,23.2, 299.3, 0.8,left,False,still
14,17,18,50,700,74.2, 18.4, 141.7,0.0, 52.5, 0.0,19.7, 318.0, 0.8,down,True,down
15,17,18,51,308,71.4, 18.1, 141.5,0.0, 100.7, 0.0,29.4, 6.3, 0.9,right,True,down-right
16,17,18,51,524,70.3, 18.0, 141.4,0.0, 118.9, 0.0,32.7, 24.6, 0.9,down,False,right
17,17,18,51,631,69.8, 17.9, 141.2,0.0, 119.2, 0.0,32.9, 24.9, 0.9,down,True,down-right
18,17,18,52,5,68.0, 17.8, 140.5,0.0, 113.0, 0.0,33.3, 18.7, 0.9,down,False,right
19,17,18,52,85,67.7, 17.8, 140.4,0.0, 113.0, 0.0,33.3, 18.7, 0.9,down,True,down-right
20,17,18,52,326,66.6, 17.8, 139.9,0.0, 113.0, 0.0,33.3, 18.7, 0.9,down,False,right
21,17,18,52,620,65.4, 17.5, 139.0,0.0, 121.4, 0.0,31.3, 27.1, 0.9,up,True,up-right
22,17,18,52,995,65.4, 17.0, 137.4,0.0, 115.7, 0.0,34.1, 21.4, 0.9,right,False,up
23,17,18,53,480,66.1, 16.7, 135.1,0.0, 168.3, 0.0,28.4, 73.9, 0.9,right,True,up-right
24,17,18,53,662,65.9, 16.8, 134.2,0.0, 171.2, 0.0,29.4, 76.8, 0.9,right,False,up
25,17,18,53,895,65.9, 16.9, 133.1,0.0, 178.3, 0.0,31.1, 84.0, 0.9,right,True,up-right
26,17,18,53,948,65.8, 16.9, 132.8,0.0, 178.4, 0.0,31.6, 84.1, 0.9,up,False,right
27,17,18,55,533,58.9, 17.0, 135.1,0.0, 230.3, 0.0,41.4, 136.2, 1.0,up,True,up-right
28,17,18,55,636,58.5, 17.2, 135.3,0.0, 233.2, 0.0,41.4, 139.1, 1.0,right,False,up
29,17,18,56,290,55.3, 17.5, 135.0,0.0, 267.1, 0.0,34.6, 172.8, 0.9,right,True,up-right
30,17,18,56,543,54.2, 17.6, 135.6,0.0, 281.6, 0.0,34.0, 187.3, 0.9,right,False,up
31,17,18,57,55,52.0, 17.8, 136.8,0.0, 297.7, 0.0,34.4, 203.4, 0.9,right,True,up-right
32,17,18,57,273,51.4, 17.9, 137.7,0.0, 298.3, 0.0,35.0, 204.0, 0.9,up,False,right
33,17,18,57,337,51.3, 18.0, 138.0,0.0, 297.8, 0.0,35.8, 203.6, 0.9,right,False,still
34,17,18,57,715,50.9, 18.1, 138.9,0.0, 271.9, 0.0,40.6, 177.8, 1.0,left,True,left
35,17,18,57,789,50.8, 18.1, 138.5,0.0, 271.7, 0.0,40.6, 177.6, 1.0,up,True,up-left
36,17,18,58,102,49.8, 18.0, 137.3,0.0, 282.5, 0.0,46.6, 188.5, 1.1,up,False,left
37,17,18,59,599,44.2, 18.2, 132.9,0.0, 341.9, 0.0,31.2, 247.6, 0.9,up,True,up-left
38,17,18,59,812,43.1, 18.3, 133.0,0.0, 342.9, 0.0,23.4, 248.4, 0.8,left,False,up
39,17,19,00,135,42.0, 18.5, 134.1,0.0, 311.4, 0.0,27.3, 217.0, 0.9,up,False,still
