id,hour,min,sec,ms,xpos,ypos,zpos,uMousePos,vMousePos,wMousePos,uGazePos,vGazePos,wGazePos
48,18,09,20,561,81.6, 17.6, 133.0,0.0, 137.7, 0.0,29.5, 186.7, 130.8
49,18,09,21,64,83.4, 17.2, 131.3,0.0, 137.7, 0.0,30.7, 185.1, 130.0
50,18,09,21,570,85.4, 16.7, 132.4,0.0, 137.8, 0.0,32.1, 183.3, 129.0
51,18,09,22,89,85.2, 16.8, 134.0,0.0, 137.8, 0.0,32.1, 183.3, 129.0
52,18,09,22,609,83.7, 17.2, 135.8,0.0, 137.8, 0.0,32.1, 183.3, 129.0
53,18,09,23,121,82.7, 17.3, 136.9,0.0, 134.3, 0.0,33.2, 178.1, 128.1
54,18,09,23,628,83.6, 17.3, 137.8,0.0, 135.9, 0.0,33.4, 179.3, 127.9
55,18,09,24,137,84.9, 17.2, 139.0,0.0, 140.0, 0.0,33.1, 184.0, 128.2
56,18,09,24,642,84.9, 17.2, 139.0,0.0, 144.1, 0.0,33.1, 188.0, 128.2
57,18,09,25,150,85.8, 16.9, 139.8,0.0, 144.2, 0.0,32.5, 189.0, 128.7
58,18,09,25,657,85.8, 16.9, 139.8,0.0, 145.3, 0.0,32.6, 189.9, 128.6
59,18,09,26,177,85.8, 16.9, 139.8,0.0, 158.2, 0.0,34.2, 200.4, 127.2
60,18,09,26,681,85.8, 16.9, 139.8,0.0, 154.1, 0.0,36.5, 192.5, 125.0
61,18,09,27,189,85.7, 17.0, 139.6,0.0, 128.5, 0.0,34.3, 170.6, 127.2
62,18,09,27,714,84.1, 17.2, 137.5,0.0, 128.2, 0.0,32.1, 173.6, 129.0
63,18,09,28,235,83.6, 17.2, 136.8,0.0, 182.8, 0.0,35.1, 223.5, 126.4
64,18,09,28,736,83.6, 17.2, 136.8,0.0, 197.1, 0.0,37.4, 233.7, 124.0
65,18,09,29,238,83.6, 17.2, 136.8,0.0, 237.1, 0.0,43.9, 258.5, 114.0
66,18,09,29,747,83.6, 17.2, 136.8,0.0, 261.1, 0.0,48.1, 237.1, 80.5
67,18,09,30,259,83.6, 17.2, 136.8,0.0, 269.3, 0.0,47.3, 239.6, 76.3
68,18,09,30,774,83.6, 17.2, 136.8,0.0, 244.4, 0.0,48.3, 222.6, 82.1
69,18,09,31,277,83.6, 17.2, 136.8,0.0, 243.4, 0.0,48.4, 222.6, 82.9
70,18,09,31,808,83.6, 17.2, 136.8,0.0, 179.0, 0.0,45.8, 193.6, 109.2
71,18,09,32,326,83.6, 17.2, 136.8,0.0, 135.8, 0.0,38.0, 171.3, 123.3
72,18,09,32,835,83.2, 17.2, 136.4,0.0, 136.1, 0.0,37.2, 173.2, 124.2
73,18,09,33,341,81.4, 17.5, 134.7,0.0, 129.5, 0.0,37.1, 166.7, 124.3
74,18,09,33,854,81.1, 17.6, 134.3,0.0, 125.3, 0.0,35.7, 165.0, 125.8
75,18,09,34,370,80.3, 17.7, 133.1,0.0, 125.5, 0.0,34.8, 166.8, 126.7
76,18,09,34,888,80.1, 17.7, 131.3,0.0, 116.8, 0.0,33.3, 160.4, 128.0
77,18,09,35,409,80.1, 17.7, 131.2,0.0, 111.1, 0.0,34.0, 153.6, 127.4
78,18,09,35,934,79.8, 17.7, 130.3,0.0, 106.2, 0.0,36.9, 143.9, 124.6
79,18,09,36,441,79.8, 17.7, 130.3,0.0, 106.2, 0.0,36.9, 143.9, 124.6
80,18,09,36,946,79.8, 17.7, 130.3,0.0, 107.7, 0.0,36.3, 146.3, 125.2
81,18,09,37,459,79.8, 17.7, 130.3,0.0, 105.9, 0.0,35.7, 145.6, 125.8
82,18,09,37,963,79.8, 17.7, 130.3,0.0, 65.9, 0.0,28.9, 115.0, 130.9
83,18,09,38,473,79.8, 17.7, 130.3,0.0, 62.1, 0.0,24.0, 111.1, 131.0
84,18,09,38,978,79.8, 17.7, 130.3,0.0, 60.7, 0.0,21.8, 109.7, 131.0
85,18,09,39,484,80.0, 17.7, 130.5,0.0, 60.4, 0.0,21.8, 109.4, 131.0
86,18,09,39,989,82.2, 17.5, 131.6,0.0, 63.0, 0.0,20.7, 112.0, 131.0
87,18,09,40,505,82.8, 17.3, 130.9,0.0, 64.8, 0.0,20.4, 113.8, 130.9
88,18,09,41,7,82.8, 17.3, 130.9,0.0, 80.7, 0.0,20.7, 129.3, 130.8
89,18,09,41,530,82.8, 17.3, 130.9,0.0, 82.3, 0.0,19.6, 131.4, 130.9
90,18,09,42,36,82.8, 17.3, 130.9,0.0, 82.3, 0.0,18.9, 131.4, 130.9
91,18,09,42,554,82.8, 17.3, 130.9,0.0, 81.4, 0.0,18.1, 130.5, 130.9
92,18,09,43,75,82.8, 17.3, 130.9,0.0, 76.4, 0.0,15.5, 125.6, 130.8
93,18,09,43,585,82.7, 17.4, 131.1,0.0, 65.4, 0.0,14.2, 114.6, 130.7
94,18,09,44,92,81.8, 17.5, 133.5,0.0, 83.5, 0.0,10.4, 133.0, 130.5
95,18,09,44,608,82.1, 17.3, 136.0,0.0, 97.3, 0.0,10.0, 146.8, 130.5
