id,hour,min,sec,ms,xpos,ypos,zpos,uMousePos,vMousePos,wMousePos,uGazePos,vGazePos,wGazePos
50,12,12,48,75,80.8, 17.6, 134.0,0.0, 124.0, 0.0,26.4, 118.6, 2.5
51,12,12,48,600,80.1, 17.7, 132.9,0.0, 121.7, 0.0,24.1, 116.2, 2.4
52,12,12,49,108,80.2, 17.6, 130.4,0.0, 113.0, 0.0,346.7, 105.9, 2.3
53,12,12,49,615,80.4, 17.9, 127.9,0.0, 85.9, 0.0,344.0, 78.7, 2.3
54,12,12,50,126,79.8, 17.9, 127.7,0.0, 44.2, 0.0,352.6, 37.4, 2.2
55,12,12,50,634,79.7, 17.7, 130.1,0.0, 25.7, 0.0,351.6, 18.8, 2.2
56,12,12,51,141,80.5, 17.7, 132.5,0.0, 3.0, 0.0,352.2, 356.2, 2.2
57,12,12,51,668,80.5, 17.7, 133.1,0.0, 312.5, 0.0,0.7, 306.0, 2.2
58,12,12,52,189,80.5, 17.7, 133.1,0.0, 296.4, 0.0,7.5, 290.2, 2.2
59,12,12,52,701,80.4, 17.7, 134.2,0.0, 13.4, 0.0,359.4, 6.8, 2.2
60,12,12,53,205,81.2, 17.4, 136.6,0.0, 22.8, 0.0,0.6, 16.3, 2.2
61,12,12,53,724,83.3, 17.4, 137.8,0.0, 76.3, 0.0,2.4, 69.9, 2.2
62,12,12,54,235,84.9, 17.2, 139.8,0.0, 89.5, 0.0,1.1, 83.0, 2.2
63,12,12,54,762,85.3, 17.3, 141.7,0.0, 97.7, 0.0,359.1, 91.1, 2.2
64,12,12,55,265,85.3, 17.3, 141.7,0.0, 115.8, 0.0,336.6, 108.3, 2.4
65,12,12,55,769,84.2, 17.4, 139.7,0.0, 115.8, 0.0,336.3, 108.3, 2.4
66,12,12,56,273,82.2, 17.6, 138.2,0.0, 98.8, 0.0,350.6, 91.9, 2.2
67,12,12,56,786,80.3, 17.5, 136.5,0.0, 83.6, 0.0,352.5, 76.8, 2.2
68,12,12,57,294,78.9, 17.7, 135.8,0.0, 80.9, 0.0,352.5, 74.1, 2.2
69,12,12,57,802,80.4, 17.7, 137.9,0.0, 90.5, 0.0,353.2, 83.7, 2.2
70,12,12,58,308,81.9, 17.9, 139.2,0.0, 91.6, 0.0,352.7, 84.8, 2.2
71,12,12,58,814,81.4, 17.6, 138.0,0.0, 123.6, 0.0,342.3, 116.4, 2.3
72,12,12,59,329,80.2, 17.6, 135.7,0.0, 107.9, 0.0,344.1, 100.7, 2.3
73,12,12,59,854,79.5, 17.8, 133.2,0.0, 103.4, 0.0,344.8, 96.3, 2.3
74,12,13,00,362,79.1, 17.7, 130.6,0.0, 96.2, 0.0,344.6, 89.1, 2.3
75,12,13,00,869,79.0, 17.7, 129.2,0.0, 95.0, 0.0,344.8, 87.9, 2.3
76,12,13,01,378,78.3, 17.6, 131.4,0.0, 45.7, 0.0,330.4, 37.9, 2.5
77,12,13,01,877,78.2, 17.7, 132.6,0.0, 29.8, 0.0,321.4, 21.5, 2.8
78,12,13,02,396,79.5, 17.7, 134.8,0.0, 39.7, 0.0,316.6, 31.1, 3.0
79,12,13,02,896,79.5, 17.7, 134.8,0.0, 58.7, 0.0,316.3, 50.1, 3.1
80,12,13,03,403,79.5, 17.7, 134.8,0.0, 58.7, 0.0,316.3, 50.1, 3.1
81,12,13,03,913,79.5, 17.7, 134.8,0.0, 1.6, 0.0,317.0, 353.0, 3.0
82,12,13,04,419,79.5, 17.7, 134.8,0.0, 328.7, 0.0,312.7, 319.8, 3.3
83,12,13,04,930,79.5, 17.7, 134.8,0.0, 288.3, 0.0,309.0, 279.0, 3.5
84,12,13,05,444,79.5, 17.7, 134.8,0.0, 240.3, 0.0,308.2, 231.0, 3.6
85,12,13,05,963,79.5, 17.7, 134.8,0.0, 186.0, 0.0,307.3, 176.6, 3.7
86,12,13,06,478,79.5, 17.7, 134.8,0.0, 133.7, 0.0,306.7, 124.2, 3.7
87,12,13,06,987,79.5, 17.7, 134.8,0.0, 154.1, 0.0,304.9, 144.4, 3.9
88,12,13,07,525,79.5, 17.7, 134.8,0.0, 204.1, 0.0,302.4, 194.1, 4.1
89,12,13,08,69,77.5, 17.8, 136.6,0.0, 219.6, 0.0,301.9, 209.5, 4.2
90,12,13,08,571,75.4, 17.7, 137.8,0.0, 260.3, 0.0,302.2, 250.3, 4.2
91,12,13,09,90,72.9, 17.3, 137.8,0.0, 270.4, 0.0,301.6, 260.3, 4.2
92,12,13,09,597,71.0, 17.4, 139.1,0.0, 271.2, 0.0,298.0, 260.5, 4.7
93,12,13,10,103,68.5, 17.2, 138.7,0.0, 251.0, 0.0,297.1, 240.1, 4.9
94,12,13,10,613,66.3, 17.0, 137.6,0.0, 222.3, 0.0,296.7, 211.4, 4.9
95,12,13,11,115,64.7, 16.7, 135.7,0.0, 217.7, 0.0,296.4, 206.7, 5.0
96,12,13,11,640,62.6, 16.7, 134.1,0.0, 254.3, 0.0,295.3, 243.1, 5.2
97,12,13,12,171,60.0, 16.7, 133.4,0.0, 255.6, 0.0,292.6, 243.8, 5.8
98,12,13,12,681,57.5, 16.8, 132.7,0.0, 255.4, 0.0,291.1, 243.1, 6.1
99,12,13,13,203,55.1, 16.9, 131.9,0.0, 247.5, 0.0,291.5, 235.4, 6.0
100,12,13,13,723,53.1, 16.8, 130.2,0.0, 221.6, 0.0,292.9, 209.8, 5.7
101,12,13,14,244,51.7, 16.6, 128.1,0.0, 182.9, 0.0,292.8, 171.1, 5.7
102,12,13,14,759,51.7, 16.6, 127.9,0.0, 168.7, 0.0,290.5, 156.3, 6.3
103,12,13,15,283,51.0, 16.5, 127.3,0.0, 223.8, 0.0,287.2, 210.1, 7.5
104,12,13,15,797,48.9, 16.6, 126.2,0.0, 258.8, 0.0,280.3, 240.0, 12.5
105,12,13,16,303,47.4, 16.7, 125.9,0.0, 257.0, 0.0,274.9, 224.0, 26.6
106,12,13,16,853,47.4, 16.7, 125.9,0.0, 216.8, 0.0,274.0, 176.7, 33.6
107,12,13,17,361,46.4, 16.7, 125.5,0.0, 260.6, 0.0,272.6, 196.9, 57.2
108,12,13,17,884,43.9, 17.0, 125.6,0.0, 291.4, 0.0,272.5, 223.9, 61.0
109,12,13,18,400,43.1, 17.4, 127.7,0.0, 317.3, 0.0,274.8, 283.2, 27.6
110,12,13,18,927,40.7, 17.8, 128.6,0.0, 280.6, 0.0,272.2, 187.3, 86.7
111,12,13,19,450,38.3, 18.1, 129.3,0.0, 271.8, 0.0,271.7, 178.1, 86.3
112,12,13,19,971,35.9, 18.4, 129.9,0.0, 209.7, 0.0,271.9, 148.2, 53.8
113,12,13,20,473,33.6, 18.9, 130.3,0.0, 209.9, 0.0,271.6, 127.1, 75.0
114,12,13,20,973,32.7, 19.0, 132.5,0.0, 263.5, 0.0,271.3, 169.5, 86.0
115,12,13,21,486,30.8, 19.2, 134.2,0.0, 247.4, 0.0,272.1, 199.3, 40.1
116,12,13,21,997,29.0, 19.5, 135.7,0.0, 255.6, 0.0,271.7, 194.2, 53.4
117,12,13,22,518,28.3, 19.8, 138.1,0.0, 256.1, 0.0,271.4, 174.5, 73.6
118,12,13,23,42,25.9, 20.2, 139.2,0.0, 209.9, 0.0,271.3, 115.9, 86.0
119,12,13,23,568,23.4, 20.6, 139.6,0.0, 199.1, 0.0,272.6, 161.8, 29.3
120,12,13,24,67,21.4, 21.0, 140.8,0.0, 253.3, 0.0,271.1, 159.1, 85.9
121,12,13,24,569,21.0, 21.1, 142.4,0.0, 254.3, 0.0,271.0, 160.1, 85.8
122,12,13,25,83,21.0, 21.1, 142.4,0.0, 196.3, 0.0,274.0, 175.2, 12.5
123,12,13,25,608,21.0, 21.1, 142.4,0.0, 181.2, 0.0,276.7, 165.3, 7.3
124,12,13,26,130,21.0, 21.1, 142.4,0.0, 231.8, 0.0,273.2, 207.6, 15.6
125,12,13,26,638,21.0, 21.1, 142.4,0.0, 245.0, 0.0,271.5, 202.3, 34.0
126,12,13,27,157,21.3, 21.1, 141.8,0.0, 151.1, 0.0,271.5, 111.1, 31.3
127,12,13,27,676,23.1, 20.7, 140.2,0.0, 110.3, 0.0,275.9, 94.1, 7.5
128,12,13,28,186,25.4, 20.3, 139.5,0.0, 106.5, 0.0,276.0, 90.5, 7.3
129,12,13,28,692,25.4, 20.3, 139.5,0.0, 108.8, 0.0,275.1, 91.5, 8.6
130,12,13,29,194,25.4, 20.3, 139.5,0.0, 174.3, 0.0,270.5, 79.8, 85.5
131,12,13,29,697,25.4, 20.3, 139.5,0.0, 217.7, 0.0,270.3, 302.7, 265.1
