id,hour,min,sec,ms,xpos,ypos,zpos,uMousePos,vMousePos,wMousePos,uGazePos,vGazePos,wGazePos
0,12,32,46,922,80.8, 18.8, 134.0,0.0, 238.7, 0.0,42.1, 267.8, 17.4
1,12,32,47,568,80.8, 17.6, 134.0,0.0, 238.7, 0.0,42.1, 267.8, 17.4
2,12,32,48,171,80.8, 17.6, 134.0,0.0, 238.7, 0.0,42.1, 267.8, 17.4
3,12,32,48,690,80.8, 17.6, 134.0,0.0, 238.7, 0.0,42.1, 267.8, 17.4
4,12,32,49,263,80.8, 17.6, 134.0,0.0, 238.7, 0.0,42.1, 267.8, 17.4
5,12,32,49,828,80.8, 17.6, 134.0,0.0, 238.7, 0.0,42.1, 267.8, 17.4
6,12,32,50,380,80.8, 17.6, 134.0,0.0, 238.7, 0.0,42.1, 267.8, 17.4
7,12,32,50,921,80.8, 17.6, 134.0,0.0, 238.7, 0.0,42.1, 267.8, 17.4
8,12,32,51,425,80.8, 17.6, 134.0,0.0, 246.1, 0.0,30.5, 271.1, 15.0
9,12,32,51,966,80.8, 17.6, 134.0,0.0, 240.6, 0.0,29.2, 265.1, 14.7
10,12,32,52,509,80.8, 17.6, 134.0,0.0, 241.5, 0.0,28.9, 266.0, 14.7
11,12,32,53,45,80.8, 17.6, 134.0,0.0, 241.5, 0.0,28.9, 266.0, 14.7
12,12,32,53,591,80.8, 17.6, 134.0,0.0, 241.5, 0.0,28.9, 266.0, 14.7
13,12,32,54,133,80.8, 17.6, 134.0,0.0, 241.5, 0.0,28.9, 266.0, 14.7
14,12,32,54,685,80.8, 17.6, 134.0,0.0, 233.6, 0.0,20.2, 255.6, 13.7
15,12,32,55,227,80.8, 17.6, 134.0,0.0, 244.1, 0.0,21.3, 266.4, 13.8
16,12,32,55,730,80.8, 17.6, 134.0,0.0, 250.8, 0.0,19.8, 272.7, 13.7
17,12,32,56,254,80.8, 17.6, 134.0,0.0, 250.8, 0.0,19.8, 272.7, 13.7
18,12,32,56,788,80.8, 17.6, 134.0,0.0, 250.8, 0.0,19.8, 272.7, 13.7
19,12,32,57,325,80.8, 17.6, 134.0,0.0, 250.7, 0.0,19.8, 272.6, 13.7
20,12,32,57,863,80.8, 17.6, 134.0,0.0, 250.2, 0.0,19.8, 272.1, 13.7
21,12,32,58,388,80.8, 17.6, 134.0,0.0, 250.2, 0.0,19.8, 272.1, 13.7
22,12,32,58,921,80.8, 17.6, 134.0,0.0, 250.2, 0.0,19.8, 272.1, 13.7
23,12,32,59,472,80.8, 17.6, 134.0,0.0, 250.8, 0.0,19.3, 272.6, 13.6
24,12,33,00,10,80.8, 17.6, 134.0,0.0, 251.5, 0.0,19.0, 273.2, 13.6
25,12,33,00,510,78.5, 17.8, 133.2,0.0, 252.4, 0.0,18.6, 274.0, 13.6
26,12,33,01,28,76.0, 17.6, 132.4,0.0, 253.4, 0.0,16.9, 274.6, 13.4
27,12,33,01,541,73.6, 17.1, 131.8,0.0, 253.8, 0.0,14.6, 274.4, 13.3
28,12,33,02,61,71.1, 16.8, 131.1,0.0, 254.8, 0.0,12.0, 274.8, 13.1
29,12,33,02,572,68.6, 16.7, 130.5,0.0, 254.8, 0.0,10.6, 274.5, 13.1
30,12,33,03,103,66.2, 16.5, 129.6,0.0, 240.9, 0.0,8.5, 260.1, 13.0
31,12,33,03,643,63.7, 16.3, 128.9,0.0, 237.5, 0.0,8.4, 256.7, 13.0
32,12,33,04,191,61.0, 16.3, 128.6,0.0, 235.9, 0.0,5.9, 254.5, 12.9
33,12,33,04,731,58.5, 16.3, 127.9,0.0, 242.4, 0.0,1.8, 260.0, 12.8
34,12,33,05,233,56.2, 16.3, 126.8,0.0, 244.3, 0.0,0.5, 261.6, 12.8
35,12,33,05,735,54.1, 16.2, 125.5,0.0, 252.3, 0.0,358.0, 269.1, 12.8
36,12,33,06,254,51.7, 16.3, 124.6,0.0, 251.9, 0.0,357.6, 268.6, 12.9
37,12,33,06,792,49.3, 16.5, 123.3,0.0, 234.6, 0.0,358.3, 251.4, 12.8
38,12,33,07,309,47.2, 16.6, 121.9,0.0, 243.7, 0.0,356.2, 260.1, 12.9
39,12,33,07,811,44.9, 16.8, 120.8,0.0, 243.7, 0.0,356.2, 260.1, 12.9
40,12,33,08,328,42.7, 16.9, 119.5,0.0, 233.2, 0.0,358.3, 250.0, 12.8
41,12,33,08,875,40.7, 17.1, 117.7,0.0, 225.5, 0.0,358.6, 242.4, 12.8
42,12,33,09,399,38.8, 17.4, 115.9,0.0, 225.5, 0.0,358.6, 242.4, 12.8
43,12,33,09,931,36.9, 17.7, 114.1,0.0, 225.5, 0.0,357.9, 242.3, 12.8
44,12,33,10,462,35.0, 17.8, 112.2,0.0, 225.2, 0.0,359.6, 242.3, 12.8
45,12,33,10,971,33.3, 17.7, 110.4,0.0, 222.2, 0.0,359.6, 239.3, 12.8
46,12,33,11,482,31.6, 17.5, 108.5,0.0, 222.1, 0.0,358.2, 238.9, 12.8
47,12,33,11,987,29.9, 17.2, 106.5,0.0, 221.9, 0.0,358.2, 238.7, 12.8
48,12,33,12,489,28.3, 17.0, 104.7,0.0, 221.9, 0.0,358.2, 238.7, 12.8
49,12,33,13,31,26.6, 16.7, 102.6,0.0, 212.6, 0.0,358.7, 229.5, 12.8
50,12,33,13,555,25.5, 16.6, 100.2,0.0, 201.5, 0.0,358.7, 218.4, 12.8
51,12,33,14,57,24.6, 16.7, 97.9,0.0, 201.5, 0.0,358.7, 218.4, 12.8
52,12,33,14,569,24.0, 16.9, 95.4,0.0, 201.5, 0.0,358.7, 218.4, 12.8
53,12,33,15,117,23.1, 17.2, 92.9,0.0, 200.9, 0.0,358.7, 217.8, 12.8
54,12,33,15,660,23.8, 17.3, 90.3,0.0, 208.1, 0.0,356.1, 224.4, 12.9
55,12,33,16,166,22.8, 17.4, 88.0,0.0, 209.7, 0.0,355.4, 225.9, 12.9
56,12,33,16,666,22.2, 17.4, 85.6,0.0, 211.5, 0.0,353.1, 227.1, 12.9
57,12,33,17,188,21.8, 17.4, 83.1,0.0, 211.4, 0.0,353.0, 227.0, 12.9
