id,hour,min,sec,ms,xpos,ypos,zpos,uMousePos,vMousePos,wMousePos,uGazePos,vGazePos,wGazePos
212,12,34,37,250,21.0, 16.2, -11.0,0.0, 352.7, 0.0,295.5, 270.9, 98.2
213,12,34,37,761,20.7, 16.5, -8.5,0.0, 353.0, 0.0,296.8, 271.0, 98.0
214,12,34,38,299,20.4, 17.1, -5.9,0.0, 352.6, 0.0,296.9, 270.6, 98.0
215,12,34,38,814,20.2, 17.6, -3.4,0.0, 327.9, 0.0,297.6, 245.8, 97.9
216,12,34,39,319,20.6, 18.1, -1.0,0.0, 314.0, 0.0,299.7, 231.5, 97.6
217,12,34,39,830,20.4, 18.7, 1.6,0.0, 310.2, 0.0,300.7, 227.6, 97.4
218,12,34,40,364,20.4, 18.7, 4.2,0.0, 325.8, 0.0,302.0, 242.9, 97.1
219,12,34,40,899,20.3, 18.7, 6.8,0.0, 292.6, 0.0,302.4, 209.6, 97.0
220,12,34,41,430,19.7, 18.7, 9.4,0.0, 320.4, 0.0,304.1, 237.7, 96.1
221,12,34,41,947,18.5, 18.8, 11.5,0.0, 232.9, 0.0,305.7, 149.1, 96.2
222,12,34,42,449,18.6, 18.7, 14.0,0.0, 202.6, 0.0,308.5, 118.0, 95.4
223,12,34,42,971,19.3, 18.7, 16.5,0.0, 185.5, 0.0,309.5, 100.6, 95.1
224,12,34,43,478,19.5, 18.7, 19.0,0.0, 184.4, 0.0,310.1, 99.3, 94.9
225,12,34,43,986,19.6, 18.7, 21.5,0.0, 171.8, 0.0,309.9, 93.4, 89.8
226,12,34,44,497,18.9, 18.7, 23.3,0.0, 113.0, 0.0,310.3, 43.3, 83.1
227,12,34,45,16,20.5, 18.7, 25.3,0.0, 64.3, 0.0,310.3, 354.7, 83.0
228,12,34,45,529,20.8, 18.7, 27.8,0.0, 42.5, 0.0,310.2, 332.3, 83.5
229,12,34,46,40,21.0, 18.8, 30.2,0.0, 101.0, 0.0,312.3, 15.1, 94.2
230,12,34,46,548,20.7, 18.7, 32.4,0.0, 110.0, 0.0,316.7, 31.9, 85.7
231,12,34,47,57,19.5, 18.7, 34.5,0.0, 37.0, 0.0,316.8, 320.6, 84.6
232,12,34,47,554,20.5, 18.7, 36.8,0.0, 33.2, 0.0,316.5, 308.7, 90.1
233,12,34,48,68,20.7, 18.8, 39.2,0.0, 52.7, 0.0,318.8, 323.8, 91.2
234,12,34,48,574,20.6, 18.8, 41.6,0.0, 28.5, 0.0,318.8, 302.3, 89.4
235,12,34,49,107,19.2, 18.7, 43.8,0.0, 353.7, 0.0,318.9, 270.3, 87.6
236,12,34,49,631,19.4, 18.7, 46.4,0.0, 313.4, 0.0,319.2, 235.8, 83.8
237,12,34,50,180,20.5, 18.8, 48.8,0.0, 286.8, 0.0,320.0, 216.2, 79.2
238,12,34,50,696,20.2, 18.8, 50.6,0.0, 346.1, 0.0,319.0, 265.7, 85.6
239,12,34,51,215,20.3, 18.8, 52.7,0.0, 355.8, 0.0,318.9, 273.0, 87.1
240,12,34,51,741,20.0, 18.7, 55.3,0.0, 338.7, 0.0,319.0, 256.6, 86.7
241,12,34,52,273,19.0, 18.7, 57.7,0.0, 310.0, 0.0,319.8, 220.6, 90.6
242,12,34,52,808,18.5, 18.7, 60.4,0.0, 280.2, 0.0,320.2, 197.8, 85.9
243,12,34,53,308,19.6, 18.7, 62.6,0.0, 0.1, 0.0,322.0, 269.3, 89.2
244,12,34,53,826,20.1, 18.8, 65.1,0.0, 39.4, 0.0,322.0, 308.8, 89.2
245,12,34,54,332,19.7, 18.9, 67.4,0.0, 19.1, 0.0,322.2, 294.0, 85.8
246,12,34,54,836,19.5, 18.6, 69.8,0.0, 21.4, 0.0,322.0, 291.1, 88.9
247,12,34,55,347,20.5, 18.3, 72.1,0.0, 31.0, 0.0,323.2, 299.4, 88.4
248,12,34,55,852,21.5, 18.0, 74.4,0.0, 15.2, 0.0,323.3, 285.0, 87.6
249,12,34,56,360,22.1, 17.7, 76.8,0.0, 342.2, 0.0,324.0, 250.1, 87.9
250,12,34,56,868,22.8, 17.6, 79.3,0.0, 326.3, 0.0,325.8, 233.4, 86.1
251,12,34,57,369,22.9, 17.6, 81.8,0.0, 311.6, 0.0,325.8, 218.8, 86.1
252,12,34,57,870,22.6, 17.5, 84.3,0.0, 297.5, 0.0,325.9, 206.4, 85.1
253,12,34,58,377,23.0, 17.5, 86.7,0.0, 286.2, 0.0,326.0, 196.0, 84.6
254,12,34,58,907,23.8, 17.4, 89.3,0.0, 285.1, 0.0,325.9, 193.4, 85.5
255,12,34,59,445,25.3, 17.5, 91.1,0.0, 231.8, 0.0,327.5, 153.3, 78.1
256,12,34,59,953,27.7, 17.6, 91.8,0.0, 185.8, 0.0,328.3, 111.5, 75.9
257,12,35,00,464,29.5, 17.7, 93.6,0.0, 104.5, 0.0,327.9, 28.2, 77.0
258,12,35,00,985,29.7, 17.3, 96.1,0.0, 89.9, 0.0,327.7, 12.6, 77.5
259,12,35,01,489,31.3, 17.4, 97.9,0.0, 60.7, 0.0,328.5, 347.4, 75.4
260,12,35,01,999,33.3, 17.8, 99.1,0.0, 72.9, 0.0,327.8, 355.8, 77.4
261,12,35,02,508,34.6, 18.2, 101.1,0.0, 73.9, 0.0,327.8, 356.8, 77.4
262,12,35,03,14,36.3, 18.1, 102.7,0.0, 73.6, 0.0,328.2, 358.7, 76.2
263,12,35,03,521,38.0, 17.8, 104.1,0.0, 73.6, 0.0,328.2, 358.7, 76.2
264,12,35,04,26,39.1, 17.6, 106.5,0.0, 54.5, 0.0,329.0, 343.1, 74.4
265,12,35,04,534,41.1, 17.5, 107.9,0.0, 55.5, 0.0,328.3, 341.3, 75.9
266,12,35,05,43,43.0, 17.3, 109.6,0.0, 58.0, 0.0,328.2, 343.0, 76.3
267,12,35,05,550,43.6, 17.1, 112.0,0.0, 56.7, 0.0,328.3, 342.1, 76.1
268,12,35,06,58,45.5, 16.9, 113.7,0.0, 57.9, 0.0,326.2, 330.4, 83.1
269,12,35,06,564,47.0, 16.7, 115.6,0.0, 0.5, 0.0,326.4, 274.3, 82.4
270,12,35,07,78,47.5, 16.6, 118.0,0.0, 340.7, 0.0,326.1, 252.1, 83.7
271,12,35,07,586,48.6, 16.5, 120.4,0.0, 335.6, 0.0,326.2, 247.7, 83.3
272,12,35,08,117,49.5, 16.4, 122.8,0.0, 343.0, 0.0,325.8, 249.5, 86.5
273,12,35,08,637,51.5, 16.3, 124.4,0.0, 14.8, 0.0,328.4, 278.8, 84.1
274,12,35,09,147,53.6, 16.3, 125.9,0.0, 41.8, 0.0,329.3, 304.8, 83.1
275,12,35,09,653,55.6, 16.4, 127.4,0.0, 58.7, 0.0,329.9, 326.6, 80.6
276,12,35,10,162,57.8, 16.4, 128.7,0.0, 60.2, 0.0,330.4, 331.0, 79.1
277,12,35,10,670,60.1, 16.4, 129.9,0.0, 66.8, 0.0,330.4, 337.6, 79.1
278,12,35,11,178,62.4, 16.6, 130.8,0.0, 67.7, 0.0,330.3, 338.2, 79.3
279,12,35,11,697,64.8, 16.8, 131.8,0.0, 68.4, 0.0,330.5, 339.5, 79.0
280,12,35,12,206,67.2, 17.0, 132.7,0.0, 68.5, 0.0,331.4, 344.5, 76.6
281,12,35,12,711,69.5, 17.1, 133.7,0.0, 69.3, 0.0,331.9, 347.8, 75.4
282,12,35,13,218,71.9, 17.2, 134.5,0.0, 70.1, 0.0,332.0, 349.1, 75.2
283,12,35,13,725,74.3, 17.4, 134.6,0.0, 70.1, 0.0,332.0, 349.1, 75.2
284,12,35,14,231,76.8, 17.8, 134.6,0.0, 80.3, 0.0,332.1, 359.7, 75.0
285,12,35,14,735,79.2, 17.7, 135.0,0.0, 78.6, 0.0,332.4, 359.2, 74.5
286,12,35,15,239,81.3, 17.4, 135.4,0.0, 78.6, 0.0,332.4, 359.2, 74.5
