id,hour,min,sec,ms,xpos,ypos,zpos,uMousePos,vMousePos,wMousePos,uGazePos,vGazePos,wGazePos
56,16,33,12,979,80.9, 17.6, 134.3,0.0, 197.7, 0.0,26.8, 265.3, 344.0
57,16,33,13,485,80.7, 17.7, 133.6,0.0, 197.7, 0.0,26.8, 265.3, 344.0
58,16,33,13,989,79.2, 17.7, 131.9,0.0, 207.8, 0.0,25.4, 275.9, 344.2
59,16,33,14,497,76.9, 17.7, 133.1,0.0, 206.9, 0.0,14.0, 278.3, 345.3
60,16,33,15,4,74.7, 17.5, 134.2,0.0, 202.3, 0.0,2.0, 276.8, 345.8
61,16,33,15,510,72.3, 17.3, 133.6,0.0, 201.7, 0.0,0.6, 276.5, 345.8
62,16,33,16,15,70.0, 17.1, 132.6,0.0, 201.1, 0.0,356.1, 277.1, 345.7
63,16,33,16,524,67.7, 16.9, 131.6,0.0, 200.3, 0.0,342.3, 279.9, 345.1
64,16,33,17,27,65.4, 16.7, 130.5,0.0, 198.1, 0.0,340.7, 278.2, 344.9
65,16,33,17,535,63.1, 16.4, 129.4,0.0, 196.7, 0.0,341.4, 276.6, 345.0
66,16,33,18,43,60.9, 16.3, 128.2,0.0, 195.9, 0.0,342.1, 275.6, 345.0
67,16,33,18,550,58.7, 16.1, 127.0,0.0, 195.8, 0.0,342.1, 275.5, 345.0
68,16,33,19,56,57.6, 15.8, 124.8,0.0, 199.1, 0.0,341.6, 278.9, 345.0
69,16,33,19,576,56.5, 15.7, 122.4,0.0, 204.7, 0.0,326.5, 289.3, 342.9
70,16,33,20,83,55.5, 15.9, 120.1,0.0, 201.1, 0.0,323.1, 287.0, 342.1
71,16,33,20,591,54.6, 16.3, 117.8,0.0, 200.6, 0.0,328.1, 284.7, 343.2
72,16,33,21,98,52.5, 16.4, 116.9,0.0, 199.4, 0.0,330.5, 282.6, 343.6
73,16,33,21,604,50.1, 16.4, 117.8,0.0, 200.6, 0.0,320.0, 287.9, 341.3
74,16,33,22,111,47.8, 16.6, 118.7,0.0, 199.0, 0.0,319.4, 286.5, 341.1
75,16,33,22,616,45.7, 16.7, 118.0,0.0, 197.3, 0.0,322.3, 283.6, 341.9
76,16,33,23,122,44.7, 16.8, 115.8,0.0, 196.6, 0.0,323.7, 282.3, 342.3
77,16,33,23,628,42.3, 17.1, 116.3,0.0, 195.5, 0.0,326.5, 280.1, 342.9
78,16,33,24,147,41.0, 17.2, 114.3,0.0, 195.1, 0.0,327.9, 279.2, 343.1
79,16,33,24,668,40.4, 17.3, 111.8,0.0, 194.8, 0.0,329.3, 278.4, 343.4
80,16,33,25,187,38.4, 17.4, 110.9,0.0, 194.3, 0.0,330.5, 277.5, 343.6
81,16,33,25,697,35.9, 17.6, 111.0,0.0, 194.2, 0.0,331.0, 277.2, 343.7
82,16,33,26,204,35.2, 17.6, 108.6,0.0, 194.2, 0.0,331.1, 277.2, 343.7
83,16,33,26,710,36.0, 17.5, 107.8,0.0, 193.7, 0.0,333.4, 276.0, 344.1
84,16,33,27,216,36.6, 17.6, 105.8,0.0, 193.3, 0.0,334.9, 275.1, 344.3
85,16,33,27,725,36.0, 17.8, 103.4,0.0, 192.8, 0.0,335.9, 274.3, 344.4
86,16,33,28,240,33.6, 17.5, 103.1,0.0, 192.4, 0.0,336.9, 273.6, 344.5
87,16,33,28,748,31.2, 17.3, 103.7,0.0, 192.2, 0.0,337.1, 273.3, 344.5
88,16,33,29,256,28.8, 17.0, 103.4,0.0, 192.1, 0.0,337.2, 273.2, 344.5
89,16,33,29,763,28.1, 16.8, 101.0,0.0, 192.1, 0.0,337.2, 273.2, 344.5
90,16,33,30,269,27.6, 16.8, 98.5,0.0, 191.5, 0.0,337.5, 272.5, 344.6
91,16,33,30,778,25.7, 16.7, 97.4,0.0, 191.3, 0.0,337.6, 272.3, 344.6
92,16,33,31,296,23.4, 16.9, 97.1,0.0, 191.3, 0.0,337.6, 272.3, 344.6
93,16,33,31,804,22.7, 17.0, 94.8,0.0, 191.3, 0.0,337.6, 272.3, 344.6
94,16,33,32,312,21.6, 17.3, 92.7,0.0, 190.7, 0.0,337.9, 271.6, 344.6
95,16,33,32,818,21.1, 17.5, 90.1,0.0, 190.3, 0.0,338.6, 271.0, 344.7
96,16,33,33,325,19.1, 17.7, 89.5,0.0, 190.3, 0.0,341.4, 270.2, 345.0
97,16,33,33,831,16.7, 17.8, 90.0,0.0, 190.2, 0.0,341.6, 270.0, 345.0
98,16,33,34,339,14.4, 17.8, 89.9,0.0, 190.4, 0.0,341.8, 270.2, 345.0
99,16,33,34,846,14.0, 18.1, 87.4,0.0, 190.2, 0.0,341.9, 269.9, 345.0
100,16,33,35,351,13.6, 18.1, 85.0,0.0, 192.1, 0.0,344.0, 271.3, 345.2
101,16,33,35,858,11.8, 18.0, 84.1,0.0, 195.2, 0.0,345.9, 273.8, 345.3
102,16,33,36,362,9.6, 18.5, 84.7,0.0, 194.7, 0.0,348.0, 272.8, 345.5
103,16,33,36,881,7.1, 18.8, 85.0,0.0, 193.5, 0.0,348.0, 271.6, 345.5
104,16,33,37,391,6.0, 19.0, 82.9,0.0, 193.4, 0.0,348.1, 271.4, 345.5
105,16,33,37,909,5.6, 19.1, 80.8,0.0, 192.7, 0.0,348.7, 270.6, 345.5
106,16,33,38,431,5.0, 19.1, 78.3,0.0, 192.2, 0.0,349.1, 270.0, 345.5
107,16,33,38,937,6.5, 19.2, 77.0,0.0, 192.0, 0.0,349.2, 269.8, 345.5
108,16,33,39,444,6.6, 19.1, 77.1,0.0, 192.0, 0.0,349.2, 269.8, 345.5
109,16,33,39,950,7.3, 18.6, 77.5,0.0, 141.1, 0.0,357.2, 216.8, 345.8
110,16,33,40,458,7.6, 18.5, 76.9,0.0, 160.1, 0.0,349.4, 237.8, 345.5
111,16,33,40,965,7.6, 18.5, 76.9,0.0, 160.2, 0.0,350.1, 237.7, 345.6
112,16,33,41,469,7.3, 18.6, 77.8,0.0, 175.4, 0.0,347.9, 253.5, 345.5
113,16,33,41,990,7.1, 18.8, 79.7,0.0, 174.9, 0.0,348.5, 252.8, 345.5
114,16,33,42,510,7.3, 18.6, 77.2,0.0, 173.4, 0.0,349.1, 251.2, 345.5
115,16,33,43,31,6.6, 18.7, 77.1,0.0, 171.2, 0.0,351.7, 248.3, 345.6
116,16,33,43,536,6.6, 18.7, 77.4,0.0, 203.0, 0.0,354.1, 279.5, 345.7
117,16,33,44,44,6.6, 18.7, 77.1,0.0, 203.8, 0.0,350.7, 281.2, 345.6
118,16,33,44,551,6.6, 18.7, 77.1,0.0, 205.5, 0.0,353.0, 282.3, 345.7
119,16,33,45,58,6.5, 19.1, 78.1,0.0, 212.3, 0.0,354.6, 288.7, 345.7
120,16,33,45,565,4.4, 19.1, 79.3,0.0, 218.8, 0.0,355.2, 295.0, 345.7
121,16,33,46,74,2.6, 19.1, 77.6,0.0, 217.7, 0.0,356.5, 293.6, 345.8
122,16,33,46,585,0.5, 18.8, 78.3,0.0, 216.0, 0.0,359.0, 291.2, 345.8
123,16,33,47,95,-1.8, 18.6, 79.0,0.0, 215.9, 0.0,359.1, 291.1, 345.8
124,16,33,47,603,-3.4, 18.6, 77.0,0.0, 215.9, 0.0,359.1, 291.1, 345.8
125,16,33,48,123,-4.9, 18.5, 74.9,0.0, 216.3, 0.0,359.9, 291.3, 345.8
126,16,33,48,631,-6.4, 18.3, 72.9,0.0, 215.3, 0.0,0.4, 290.2, 345.8
127,16,33,49,136,-7.9, 18.2, 70.8,0.0, 212.8, 0.0,0.2, 287.7, 345.8
128,16,33,49,645,-9.1, 17.9, 68.6,0.0, 206.0, 0.0,1.3, 280.7, 345.8
129,16,33,50,152,-10.1, 17.5, 66.4,0.0, 191.9, 0.0,1.3, 266.6, 345.8
130,16,33,50,659,-10.2, 16.9, 63.8,0.0, 171.3, 0.0,359.7, 246.4, 345.8
131,16,33,51,166,-9.6, 16.4, 61.5,0.0, 165.6, 0.0,1.2, 240.3, 345.8
132,16,33,51,673,-8.7, 16.0, 59.2,0.0, 157.2, 0.0,1.0, 231.9, 345.8
133,16,33,52,179,-7.5, 15.5, 57.0,0.0, 150.8, 0.0,1.9, 225.3, 345.8
134,16,33,52,686,-6.3, 14.6, 55.0,0.0, 147.1, 0.0,3.0, 221.3, 345.8
135,16,33,53,192,-5.2, 13.5, 53.0,0.0, 144.8, 0.0,3.0, 219.0, 345.8
136,16,33,53,693,-4.0, 12.7, 51.0,0.0, 145.5, 0.0,2.2, 219.9, 345.8
137,16,33,54,201,-2.6, 12.2, 48.8,0.0, 145.3, 0.0,2.5, 219.7, 345.8
138,16,33,54,708,-1.3, 11.6, 46.8,0.0, 144.4, 0.0,3.0, 218.6, 345.8
139,16,33,55,216,-0.7, 11.3, 45.7,0.0, 143.0, 0.0,345.6, 221.7, 345.3
140,16,33,55,723,0.7, 10.6, 43.9,0.0, 142.3, 0.0,348.2, 220.3, 345.5
141,16,33,56,231,1.9, 10.1, 41.8,0.0, 139.7, 0.0,326.5, 224.3, 342.9
142,16,33,56,738,2.9, 9.7, 40.1,0.0, 151.2, 0.0,322.8, 237.3, 342.0
143,16,33,57,245,4.1, 9.3, 38.1,0.0, 145.7, 0.0,323.1, 231.6, 342.1
144,16,33,57,752,5.4, 9.1, 36.2,0.0, 144.4, 0.0,324.0, 230.0, 342.3
145,16,33,58,257,7.0, 8.8, 34.1,0.0, 142.2, 0.0,325.7, 227.1, 342.7
146,16,33,58,764,8.4, 8.6, 32.1,0.0, 148.7, 0.0,325.7, 233.6, 342.7
147,16,33,59,271,9.8, 8.3, 30.0,0.0, 144.3, 0.0,326.0, 229.1, 342.8
148,16,33,59,778,11.0, 7.9, 28.4,0.0, 142.4, 0.0,326.1, 227.2, 342.8
149,16,34,00,285,12.4, 7.3, 26.5,0.0, 140.0, 0.0,326.8, 224.5, 342.9
150,16,34,00,790,13.3, 7.0, 25.8,0.0, 134.9, 0.0,328.8, 218.7, 343.3
151,16,34,01,299,15.1, 7.1, 27.8,0.0, 131.2, 0.0,331.1, 214.2, 343.7
152,16,34,01,803,16.6, 6.7, 26.3,0.0, 132.3, 0.0,328.7, 216.1, 343.3
153,16,34,02,310,18.1, 6.0, 24.7,0.0, 130.3, 0.0,329.7, 213.8, 343.5
154,16,34,02,818,19.9, 6.0, 22.8,0.0, 142.8, 0.0,324.1, 228.4, 342.3
155,16,34,03,325,21.5, 6.6, 21.1,0.0, 138.9, 0.0,324.5, 224.3, 342.5
156,16,34,03,832,23.1, 6.6, 19.2,0.0, 142.5, 0.0,326.4, 227.2, 342.9
157,16,34,04,338,24.6, 6.3, 17.1,0.0, 147.6, 0.0,323.3, 233.5, 342.2
158,16,34,04,845,25.7, 6.1, 14.9,0.0, 154.7, 0.0,321.0, 241.5, 341.6
