id,hour,min,sec,ms,xpos,ypos,zpos,uMousePos,vMousePos,wMousePos,uGazePos,vGazePos,wGazePos
306,16,35,19,901,21.3, 16.4, -9.0,0.0, 22.6, 0.0,3.9, 96.6, 345.8
307,16,35,20,408,21.8, 16.9, -7.0,0.0, 23.0, 0.0,4.0, 97.0, 345.7
308,16,35,20,914,21.0, 17.3, -4.7,0.0, 23.3, 0.0,4.0, 97.3, 345.7
309,16,35,21,421,20.0, 17.8, -2.4,0.0, 23.6, 0.0,4.4, 97.5, 345.7
310,16,35,21,928,20.2, 18.3, 0.0,0.0, 24.1, 0.0,5.4, 97.7, 345.7
311,16,35,22,433,21.3, 18.7, 2.2,0.0, 24.2, 0.0,5.8, 97.7, 345.7
312,16,35,22,938,21.6, 18.8, 4.5,0.0, 11.5, 0.0,3.3, 85.6, 345.8
313,16,35,23,446,21.6, 18.8, 7.0,0.0, 11.9, 0.0,0.7, 86.7, 345.8
314,16,35,23,952,21.5, 18.8, 9.5,0.0, 7.5, 0.0,1.3, 82.2, 345.8
315,16,35,24,457,21.3, 18.8, 11.7,0.0, 3.1, 0.0,0.2, 78.0, 345.8
316,16,35,24,965,21.3, 18.8, 14.3,0.0, 340.6, 0.0,3.0, 54.8, 345.8
317,16,35,25,472,20.1, 18.7, 16.5,0.0, 329.9, 0.0,2.0, 44.4, 345.8
318,16,35,25,979,18.5, 18.7, 18.2,0.0, 304.2, 0.0,10.9, 16.4, 345.5
319,16,35,26,490,18.2, 18.8, 19.9,0.0, 324.5, 0.0,8.7, 37.3, 345.6
320,16,35,26,991,18.2, 18.8, 22.1,0.0, 332.5, 0.0,3.6, 46.6, 345.8
321,16,35,27,498,18.1, 18.8, 24.4,0.0, 342.9, 0.0,359.5, 58.0, 345.8
322,16,35,28,6,18.3, 18.7, 26.6,0.0, 351.2, 0.0,357.0, 66.9, 345.8
323,16,35,28,512,18.0, 18.8, 29.1,0.0, 354.1, 0.0,357.2, 69.8, 345.8
324,16,35,29,18,17.9, 19.1, 31.6,0.0, 358.6, 0.0,357.9, 74.1, 345.8
