id,hour,min,sec,ms,xpos,ypos,zpos,uMousePos,vMousePos,wMousePos,uGazePos,vGazePos,wGazePos
0,15,07,42,850,80.8, 18.8, 134.0,0.0, 238.7, 0.0,10.0, 156.3, 2.3
1,15,07,43,810,80.8, 17.6, 134.0,0.0, 238.7, 0.0,10.0, 156.3, 2.3
2,15,07,44,317,80.8, 17.6, 134.0,0.0, 238.7, 0.0,10.0, 156.3, 2.3
3,15,07,44,824,80.8, 17.6, 134.0,0.0, 238.7, 0.0,10.0, 156.3, 2.3
4,15,07,45,332,80.8, 17.6, 134.0,0.0, 238.7, 0.0,10.0, 156.3, 2.3
5,15,07,45,838,80.8, 17.6, 134.0,0.0, 238.7, 0.0,10.0, 156.3, 2.3
6,15,07,46,362,80.8, 17.6, 134.0,0.0, 238.7, 0.0,10.0, 156.3, 2.3
7,15,07,46,862,80.8, 17.6, 134.0,0.0, 238.7, 0.0,10.0, 156.3, 2.3
8,15,07,47,370,80.8, 17.6, 134.0,0.0, 238.7, 0.0,10.0, 156.3, 2.3
9,15,07,47,877,80.8, 17.6, 134.0,0.0, 238.7, 0.0,10.0, 156.3, 2.3
10,15,07,48,384,80.8, 17.6, 134.0,0.0, 238.7, 0.0,10.0, 156.3, 2.3
11,15,07,48,891,80.8, 17.6, 134.0,0.0, 238.7, 0.0,10.0, 156.3, 2.3
12,15,07,49,397,80.8, 17.6, 134.0,0.0, 242.8, 0.0,8.6, 160.3, 2.2
13,15,07,49,906,80.8, 17.6, 134.0,0.0, 245.7, 0.0,5.3, 163.1, 2.2
14,15,07,50,412,80.8, 17.6, 134.0,0.0, 245.7, 0.0,5.3, 163.1, 2.2
15,15,07,50,918,80.8, 17.6, 134.0,0.0, 240.1, 0.0,9.5, 157.7, 2.3
16,15,07,51,425,80.8, 17.6, 134.0,0.0, 191.2, 0.0,6.2, 108.6, 2.2
17,15,07,51,931,80.8, 17.6, 134.0,0.0, 193.3, 0.0,6.0, 110.7, 2.2
18,15,07,52,438,80.8, 17.6, 134.0,0.0, 219.9, 0.0,2.4, 137.2, 2.2
19,15,07,52,946,80.8, 17.6, 134.0,0.0, 218.4, 0.0,0.5, 135.6, 2.2
20,15,07,53,452,80.8, 17.6, 134.0,0.0, 220.1, 0.0,1.8, 137.4, 2.2
21,15,07,53,959,80.8, 17.6, 134.0,0.0, 219.3, 0.0,2.5, 136.6, 2.2
22,15,07,54,466,80.8, 17.6, 134.0,0.0, 219.3, 0.0,2.5, 136.6, 2.2
23,15,07,54,972,80.8, 17.6, 134.0,0.0, 219.3, 0.0,2.5, 136.6, 2.2
24,15,07,55,479,80.8, 17.6, 134.0,0.0, 219.3, 0.0,2.5, 136.6, 2.2
25,15,07,55,986,80.8, 17.6, 134.0,0.0, 217.3, 0.0,2.7, 134.6, 2.2
26,15,07,56,492,80.8, 17.6, 134.0,0.0, 211.0, 0.0,2.5, 128.3, 2.2
27,15,07,56,999,80.8, 17.6, 134.0,0.0, 208.2, 0.0,3.0, 125.5, 2.2
28,15,07,57,506,80.8, 17.6, 134.0,0.0, 196.9, 0.0,4.5, 114.3, 2.2
29,15,07,58,12,80.8, 17.6, 134.0,0.0, 188.5, 0.0,4.8, 105.9, 2.2
30,15,07,58,519,80.8, 17.6, 134.0,0.0, 188.4, 0.0,4.8, 105.8, 2.2
31,15,07,59,26,80.8, 17.6, 134.0,0.0, 186.7, 0.0,4.4, 104.1, 2.2
32,15,07,59,532,80.8, 17.6, 134.0,0.0, 186.7, 0.0,4.4, 104.1, 2.2
33,15,08,00,39,80.8, 17.6, 134.0,0.0, 186.6, 0.0,5.4, 104.0, 2.2
34,15,08,00,545,80.8, 17.6, 134.0,0.0, 186.6, 0.0,5.4, 104.0, 2.2
35,15,08,01,52,80.8, 17.6, 134.0,0.0, 186.6, 0.0,5.4, 104.0, 2.2
36,15,08,01,559,80.8, 17.6, 134.0,0.0, 186.6, 0.0,5.4, 104.0, 2.2
37,15,08,02,66,80.8, 17.6, 134.0,0.0, 186.6, 0.0,5.4, 104.0, 2.2
38,15,08,02,572,80.8, 17.6, 134.0,0.0, 186.7, 0.0,5.0, 104.1, 2.2
39,15,08,03,78,80.8, 17.6, 134.0,0.0, 186.8, 0.0,5.0, 104.2, 2.2
40,15,08,03,585,80.8, 17.6, 134.0,0.0, 186.8, 0.0,5.0, 104.2, 2.2
41,15,08,04,92,80.8, 17.6, 134.0,0.0, 186.8, 0.0,5.0, 104.2, 2.2
42,15,08,04,598,80.8, 17.6, 134.0,0.0, 187.4, 0.0,5.0, 104.8, 2.2
43,15,08,05,105,82.0, 17.5, 133.8,0.0, 187.4, 0.0,5.0, 104.8, 2.2
44,15,08,05,611,84.3, 17.1, 133.5,0.0, 182.1, 0.0,7.5, 99.6, 2.2
45,15,08,06,118,85.7, 16.6, 133.4,0.0, 184.2, 0.0,11.5, 101.8, 2.3
46,15,08,06,624,85.9, 16.6, 133.4,0.0, 162.0, 0.0,10.5, 79.6, 2.3
47,15,08,07,132,85.9, 16.6, 133.4,0.0, 122.1, 0.0,6.6, 39.6, 2.2
48,15,08,07,639,86.1, 16.5, 134.1,0.0, 101.6, 0.0,349.8, 18.4, 2.3
49,15,08,08,146,86.7, 16.4, 136.6,0.0, 136.5, 0.0,313.8, 51.4, 3.2
50,15,08,08,651,88.0, 16.0, 138.2,0.0, 164.2, 0.0,308.5, 78.6, 3.6
51,15,08,09,160,88.0, 16.0, 138.2,0.0, 165.9, 0.0,308.4, 80.3, 3.6
52,15,08,09,666,89.1, 15.7, 140.1,0.0, 177.0, 0.0,297.6, 89.9, 4.8
53,15,08,10,172,90.6, 14.9, 140.1,0.0, 186.9, 0.0,278.8, 89.5, 14.7
54,15,08,10,679,92.5, 14.7, 139.8,0.0, 185.8, 0.0,270.3, 233.1, 227.4
55,15,08,11,187,93.8, 14.8, 139.3,0.0, 147.3, 0.0,272.8, 192.3, 227.9
56,15,08,11,693,94.3, 14.8, 138.1,0.0, 123.0, 0.0,274.6, 168.9, 225.9
57,15,08,12,200,93.9, 14.8, 137.7,0.0, 107.8, 0.0,277.6, 152.7, 224.9
58,15,08,12,707,92.0, 14.8, 139.0,0.0, 140.2, 0.0,279.4, 184.6, 224.4
59,15,08,13,212,91.9, 14.8, 139.7,0.0, 189.3, 0.0,280.9, 233.2, 224.0
60,15,08,13,719,94.3, 14.8, 139.1,0.0, 135.1, 0.0,282.6, 178.6, 223.5
61,15,08,14,226,94.9, 14.8, 138.8,0.0, 180.8, 0.0,290.6, 222.3, 221.5
62,15,08,14,727,94.9, 14.8, 138.8,0.0, 241.0, 0.0,305.0, 279.6, 218.6
63,15,08,15,235,94.9, 14.8, 138.8,0.0, 241.7, 0.0,309.4, 279.3, 218.1
64,15,08,15,741,94.9, 14.8, 138.8,0.0, 293.3, 0.0,326.0, 329.3, 216.0
65,15,08,16,249,92.4, 14.8, 139.2,0.0, 306.7, 0.0,331.1, 342.3, 215.6
66,15,08,16,756,90.0, 15.1, 139.1,0.0, 274.8, 0.0,336.1, 310.1, 215.3
67,15,08,17,260,87.8, 16.1, 138.7,0.0, 243.1, 0.0,334.2, 276.7, 216.0
68,15,08,17,769,86.2, 16.6, 136.7,0.0, 202.2, 0.0,327.6, 230.0, 218.8
69,15,08,18,276,84.9, 17.0, 134.8,0.0, 183.0, 0.0,317.8, 199.7, 225.6
70,15,08,18,784,84.9, 16.8, 132.3,0.0, 164.9, 0.0,309.8, 167.5, 235.8
71,15,08,19,290,86.4, 16.4, 132.8,0.0, 168.2, 0.0,305.5, 158.2, 245.8
72,15,08,19,797,87.6, 15.9, 133.1,0.0, 174.3, 0.0,305.1, 162.9, 246.9
73,15,08,20,304,87.6, 15.9, 133.1,0.0, 174.5, 0.0,305.1, 163.1, 246.9
74,15,08,20,811,88.4, 15.7, 134.8,0.0, 192.4, 0.0,307.4, 188.7, 240.7
75,15,08,21,317,88.1, 15.8, 135.0,0.0, 213.5, 0.0,309.5, 215.3, 236.4
76,15,08,21,824,87.8, 15.8, 132.7,0.0, 185.5, 0.0,307.1, 181.1, 241.3
77,15,08,22,331,89.7, 14.9, 132.8,0.0, 187.9, 0.0,310.1, 191.3, 235.2
78,15,08,22,837,89.7, 14.9, 132.9,0.0, 188.7, 0.0,316.6, 203.6, 226.8
79,15,08,23,344,89.7, 14.9, 132.9,0.0, 217.8, 0.0,328.6, 246.5, 218.3
80,15,08,23,851,89.1, 14.9, 131.0,0.0, 177.2, 0.0,329.4, 206.6, 217.9
81,15,08,24,358,90.4, 14.9, 130.9,0.0, 162.6, 0.0,327.3, 190.1, 218.9
82,15,08,24,865,90.8, 14.9, 130.5,0.0, 163.2, 0.0,326.6, 190.0, 219.4
83,15,08,25,372,91.1, 14.9, 130.4,0.0, 155.7, 0.0,328.4, 184.3, 218.4
84,15,08,25,878,90.7, 14.9, 130.7,0.0, 107.4, 0.0,332.2, 139.3, 216.7
85,15,08,26,386,89.3, 15.0, 132.5,0.0, 135.9, 0.0,334.5, 169.7, 215.9
86,15,08,26,893,88.6, 15.5, 133.4,0.0, 67.5, 0.0,341.9, 102.5, 215.1
87,15,08,27,400,88.2, 15.7, 133.8,0.0, 32.8, 0.0,356.6, 67.9, 215.1
88,15,08,27,913,86.0, 16.6, 134.4,0.0, 297.8, 0.0,18.4, 335.0, 217.2
89,15,08,28,418,84.1, 17.1, 133.9,0.0, 269.7, 0.0,17.5, 305.7, 216.9
90,15,08,28,927,82.1, 17.5, 132.3,0.0, 221.2, 0.0,11.2, 252.4, 215.7
91,15,08,29,436,81.7, 17.5, 131.2,0.0, 211.8, 0.0,8.7, 241.2, 215.4
92,15,08,29,943,83.7, 17.1, 129.7,0.0, 212.0, 0.0,8.0, 240.9, 215.4
93,15,08,30,450,83.6, 17.1, 129.2,0.0, 196.9, 0.0,8.9, 226.4, 215.5
94,15,08,30,958,82.5, 17.4, 129.6,0.0, 198.5, 0.0,9.3, 228.3, 215.5
95,15,08,31,464,82.2, 17.4, 129.7,0.0, 201.6, 0.0,9.9, 231.8, 215.6
96,15,08,31,972,82.4, 17.4, 131.2,0.0, 189.9, 0.0,11.4, 221.3, 215.8
97,15,08,32,479,80.7, 17.6, 131.3,0.0, 187.8, 0.0,12.5, 219.9, 215.9
98,15,08,32,986,78.2, 17.6, 130.9,0.0, 164.9, 0.0,22.0, 202.8, 217.9
99,15,08,33,493,76.9, 17.7, 132.8,0.0, 172.5, 0.0,36.2, 215.0, 222.5
100,15,08,33,999,76.6, 17.7, 134.6,0.0, 130.5, 0.0,44.7, 177.9, 227.4
101,15,08,34,507,76.6, 17.7, 134.6,0.0, 99.9, 0.0,53.6, 156.1, 236.2
