id,hour,min,sec,ms,xpos,ypos,zpos,upos,vpos,wpos
1,21,28,16,680,76.2, 17.7, 133.1,0.0, 274.4, 0.0
2,21,28,17,249,76.2, 17.7, 133.1,0.0, 274.4, 0.0
3,21,28,17,799,76.2, 17.7, 133.1,0.9, 267.4, 0.0
4,21,28,18,426,76.2, 17.7, 133.1,0.7, 236.4, 0.0
5,21,28,19,19,76.2, 17.7, 133.1,0.9, 204.8, 0.0
6,21,28,19,556,76.2, 17.7, 133.1,1.3, 204.8, 0.0
7,21,28,20,103,76.2, 17.7, 133.1,0.0, 234.1, 0.0
8,21,28,20,661,76.2, 17.7, 133.1,357.8, 277.4, 0.0
9,21,28,21,269,76.2, 17.7, 133.1,354.4, 314.1, 0.0
10,21,28,21,803,76.2, 17.7, 133.1,353.5, 325.2, 0.0
11,21,28,22,307,76.2, 17.7, 133.1,347.6, 312.9, 0.0
12,21,28,22,914,76.2, 17.7, 133.1,345.8, 302.5, 0.0
13,21,28,23,450,75.7, 17.7, 133.3,348.4, 285.4, 0.0
14,21,28,24,38,72.9, 17.4, 133.6,351.6, 262.6, 0.0
15,21,28,24,615,70.0, 17.1, 133.1,352.0, 252.6, 0.0
16,21,28,25,241,67.0, 16.8, 132.0,350.6, 246.9, 0.0
17,21,28,25,844,62.0, 16.4, 129.9,351.3, 245.7, 0.0
18,21,28,26,461,56.4, 16.2, 127.3,352.2, 242.7, 0.0
19,21,28,27,44,51.3, 16.2, 124.4,354.1, 236.6, 0.0
20,21,28,27,643,46.5, 16.6, 120.9,354.7, 230.5, 0.0
21,21,28,28,226,42.1, 17.0, 117.1,354.7, 228.6, 0.0
22,21,28,28,830,37.7, 17.5, 113.1,354.9, 225.6, 0.0
23,21,28,29,404,33.8, 17.6, 108.8,355.7, 216.5, 0.0
24,21,28,29,999,30.7, 17.3, 103.9,356.4, 207.6, 0.0
25,21,28,30,567,28.2, 17.0, 98.7,356.6, 204.3, 0.0
26,21,28,31,157,25.8, 17.5, 93.4,356.7, 202.5, 0.0
27,21,28,31,754,23.5, 17.7, 87.9,356.9, 199.9, 0.0
28,21,28,32,362,21.7, 17.5, 82.2,357.5, 195.8, 0.0
29,21,28,32,949,20.1, 17.7, 76.4,357.6, 195.4, 0.0
30,21,28,33,567,18.5, 18.6, 70.5,359.0, 188.3, 0.0
31,21,28,34,72,18.1, 18.7, 65.6,1.3, 173.5, 0.0
32,21,28,34,596,18.8, 18.7, 60.4,1.9, 171.2, 0.0
33,21,28,35,110,19.5, 18.7, 55.3,2.4, 175.8, 0.0
34,21,28,35,611,19.5, 18.7, 50.3,0.8, 183.5, 0.0
35,21,28,36,212,19.2, 18.7, 44.3,0.5, 182.3, 0.0
36,21,28,36,828,19.1, 18.7, 38.1,0.1, 179.5, 0.0
37,21,28,37,418,19.2, 18.7, 32.3,0.1, 179.1, 0.0
38,21,28,38,13,19.3, 18.7, 26.3,0.1, 179.1, 0.0
39,21,28,38,580,19.3, 18.7, 21.7,0.1, 179.1, 0.0
40,21,28,39,136,19.3, 18.7, 21.7,0.1, 179.1, 0.0
41,21,28,39,705,19.3, 18.7, 21.7,0.1, 179.1, 0.0
42,21,28,40,279,19.3, 18.7, 21.7,358.3, 188.5, 0.0
43,21,28,40,828,19.3, 18.7, 21.7,357.4, 205.3, 0.0
44,21,28,41,401,19.3, 18.7, 21.7,356.6, 224.3, 0.0
45,21,28,41,998,19.3, 18.7, 21.7,356.5, 243.2, 0.0
46,21,28,42,506,19.3, 18.7, 21.7,357.2, 254.3, 0.0
47,21,28,43,35,19.3, 18.7, 21.7,357.5, 260.2, 0.0
48,21,28,43,585,19.3, 18.7, 21.7,358.2, 256.9, 0.0
49,21,28,44,133,19.3, 18.7, 21.7,358.8, 243.2, 0.0
50,21,28,44,666,19.3, 18.7, 21.7,358.8, 226.3, 0.0
51,21,28,45,168,19.3, 18.7, 21.7,359.1, 212.1, 0.0
52,21,28,45,777,19.3, 18.7, 21.7,359.8, 189.7, 0.0
53,21,28,46,323,19.3, 18.7, 21.7,0.2, 175.7, 0.0
54,21,28,46,903,19.3, 18.7, 21.7,358.9, 159.7, 0.0
55,21,28,47,511,19.3, 18.7, 21.7,359.2, 157.5, 0.0
56,21,28,48,14,19.3, 18.7, 21.7,359.8, 130.1, 0.0
57,21,28,48,590,19.3, 18.7, 21.7,0.2, 94.3, 0.0
58,21,28,49,118,19.3, 18.7, 21.7,0.4, 63.2, 0.0
59,21,28,49,635,19.3, 18.7, 21.7,359.8, 48.8, 0.0
60,21,28,50,243,19.3, 18.7, 21.7,359.4, 56.9, 0.0
61,21,28,50,872,19.3, 18.7, 21.7,359.2, 82.3, 0.0
62,21,28,51,439,19.3, 18.7, 21.7,358.4, 123.0, 0.0
63,21,28,52,53,19.3, 18.7, 21.7,1.5, 178.3, 0.0
64,21,28,52,666,19.3, 18.7, 21.7,2.5, 200.0, 0.0
65,21,28,53,218,19.3, 18.7, 21.7,2.5, 200.1, 0.0
