id,hour,min,sec,ms,xpos,ypos,zpos,uMousePos,vMousePos,wMousePos,uGazePos,vGazePos,wGazePos
354,13,18,40,245,20.4, 16.5, -8.5,0.0, 1.1, 0.0,349.3, 1.1, 0.0
355,13,18,40,757,20.5, 17.0, -6.1,0.0, 1.2, 0.0,347.5, 1.2, 0.0
356,13,18,41,259,20.6, 17.6, -3.5,0.0, 1.2, 0.0,347.5, 1.2, 0.0
357,13,18,41,769,20.6, 18.1, -1.1,0.0, 1.2, 0.0,347.5, 1.2, 0.0
358,13,18,42,275,20.4, 18.6, 1.3,0.0, 349.4, 0.0,345.9, 349.4, 0.0
359,13,18,42,804,19.6, 18.7, 3.9,0.0, 342.7, 0.0,344.8, 342.7, 0.0
360,13,18,43,311,18.9, 18.7, 6.3,0.0, 348.7, 0.0,344.1, 348.7, 0.0
361,13,18,43,815,18.7, 18.7, 8.8,0.0, 2.5, 0.0,345.4, 2.5, 0.0
362,13,18,44,328,18.8, 18.7, 11.4,0.0, 1.4, 0.0,351.2, 1.4, 0.0
363,13,18,44,860,18.9, 18.7, 14.1,0.0, 1.4, 0.0,351.2, 1.4, 0.0
364,13,18,45,365,19.0, 18.7, 16.6,0.0, 3.3, 0.0,348.3, 3.3, 0.0
365,13,18,45,875,19.2, 18.7, 19.1,0.0, 3.1, 0.0,348.1, 3.1, 0.0
366,13,18,46,376,19.3, 18.7, 21.6,0.0, 0.8, 0.0,349.4, 0.8, 0.0
367,13,18,46,876,19.3, 18.7, 24.1,0.0, 0.7, 0.0,351.8, 0.7, 0.0
368,13,18,47,382,19.3, 18.7, 26.7,0.0, 360.0, 0.0,351.6, 360.0, 0.0
369,13,18,47,892,19.3, 18.7, 29.2,0.0, 359.8, 0.0,350.7, 359.8, 0.0
370,13,18,48,408,19.3, 18.7, 31.8,0.0, 359.7, 0.0,350.0, 359.7, 0.0
371,13,18,48,909,19.3, 18.7, 34.3,0.0, 359.6, 0.0,349.8, 359.6, 0.0
372,13,18,49,409,19.3, 18.7, 36.8,0.0, 359.6, 0.0,349.8, 359.6, 0.0
373,13,18,49,925,19.3, 18.7, 39.4,0.0, 359.6, 0.0,349.8, 359.6, 0.0
374,13,18,50,425,19.2, 18.7, 41.9,0.0, 359.6, 0.0,349.8, 359.6, 0.0
375,13,18,50,926,19.2, 18.7, 44.4,0.0, 359.3, 0.0,349.4, 359.3, 0.0
376,13,18,51,429,19.2, 18.7, 46.9,0.0, 359.2, 0.0,349.3, 359.2, 0.0
377,13,18,51,943,19.1, 18.7, 49.5,0.0, 359.2, 0.0,349.3, 359.2, 0.0
378,13,18,52,459,19.1, 18.7, 52.1,0.0, 358.4, 0.0,347.8, 358.4, 0.0
379,13,18,52,959,19.0, 18.7, 54.6,0.0, 358.0, 0.0,346.7, 358.0, 0.0
380,13,18,53,475,18.9, 18.7, 57.1,0.0, 358.0, 0.0,348.0, 358.0, 0.0
381,13,18,53,993,18.9, 18.7, 59.7,0.0, 1.7, 0.0,351.3, 1.7, 0.0
382,13,18,54,494,18.9, 18.7, 62.2,0.0, 358.7, 0.0,346.2, 358.7, 0.0
383,13,18,55,9,18.8, 18.7, 64.8,0.0, 356.2, 0.0,349.2, 356.2, 0.0
384,13,18,55,512,18.9, 18.8, 67.2,0.0, 10.7, 0.0,347.2, 10.7, 0.0
385,13,18,56,28,19.4, 18.6, 69.7,0.0, 12.6, 0.0,351.5, 12.6, 0.0
386,13,18,56,543,20.1, 18.2, 72.2,0.0, 13.4, 0.0,354.6, 13.4, 0.0
387,13,18,57,59,20.7, 17.9, 74.7,0.0, 9.0, 0.0,354.7, 9.0, 0.0
388,13,18,57,560,20.9, 17.6, 77.2,0.0, 3.5, 0.0,354.3, 3.5, 0.0
389,13,18,58,76,21.1, 17.5, 79.7,0.0, 7.2, 0.0,352.2, 7.2, 0.0
390,13,18,58,577,21.4, 17.4, 82.2,0.0, 8.3, 0.0,351.5, 8.3, 0.0
391,13,18,59,77,21.8, 17.4, 84.6,0.0, 8.6, 0.0,351.5, 8.6, 0.0
392,13,18,59,594,22.2, 17.4, 87.2,0.0, 16.1, 0.0,350.7, 16.1, 0.0
393,13,19,00,94,23.0, 17.3, 89.6,0.0, 17.6, 0.0,350.3, 17.6, 0.0
394,13,19,00,610,24.1, 17.2, 91.9,0.0, 36.9, 0.0,346.2, 36.9, 0.0
395,13,19,01,128,25.6, 17.2, 94.0,0.0, 47.1, 0.0,345.0, 47.1, 0.0
396,13,19,01,644,27.6, 17.1, 95.7,0.0, 42.2, 0.0,342.3, 42.2, 0.0
397,13,19,02,146,28.6, 16.9, 98.0,0.0, 16.9, 0.0,354.3, 16.9, 0.0
398,13,19,02,660,29.3, 17.0, 100.5,0.0, 19.0, 0.0,352.5, 19.0, 0.0
399,13,19,03,177,30.2, 17.2, 102.8,0.0, 22.3, 0.0,351.5, 22.3, 0.0
400,13,19,03,694,31.2, 17.4, 105.2,0.0, 23.2, 0.0,351.2, 23.2, 0.0
401,13,19,04,195,32.2, 17.6, 107.5,0.0, 26.9, 0.0,350.3, 26.9, 0.0
402,13,19,04,695,33.4, 17.7, 109.7,0.0, 29.0, 0.0,349.1, 29.0, 0.0
403,13,19,05,211,34.8, 17.8, 111.9,0.0, 34.1, 0.0,346.4, 34.1, 0.0
404,13,19,05,711,36.2, 17.7, 113.9,0.0, 35.3, 0.0,346.5, 35.3, 0.0
405,13,19,06,212,37.8, 17.5, 115.8,0.0, 44.9, 0.0,334.8, 44.9, 0.0
406,13,19,06,727,39.7, 17.2, 117.6,0.0, 43.9, 0.0,344.3, 43.9, 0.0
407,13,19,07,245,41.4, 17.0, 119.5,0.0, 42.9, 0.0,346.0, 42.9, 0.0
408,13,19,07,761,42.9, 16.9, 121.6,0.0, 50.8, 0.0,345.2, 50.8, 0.0
409,13,19,08,278,43.6, 16.9, 124.1,0.0, 78.7, 0.0,346.8, 78.7, 0.0
410,13,19,08,779,45.6, 16.8, 125.6,0.0, 91.8, 0.0,340.7, 91.8, 0.0
411,13,19,09,279,48.0, 16.7, 125.9,0.0, 71.3, 0.0,349.2, 71.3, 0.0
412,13,19,09,794,50.4, 16.5, 126.8,0.0, 67.4, 0.0,359.0, 67.4, 0.0
413,13,19,10,312,52.8, 16.5, 127.8,0.0, 68.3, 0.0,355.7, 68.3, 0.0
414,13,19,10,812,55.1, 16.5, 128.6,0.0, 71.4, 0.0,349.3, 71.4, 0.0
415,13,19,11,328,57.6, 16.5, 129.4,0.0, 72.8, 0.0,343.5, 72.8, 0.0
416,13,19,11,829,60.0, 16.4, 130.2,0.0, 72.8, 0.0,343.2, 72.8, 0.0
417,13,19,12,329,62.4, 16.6, 130.9,0.0, 70.3, 0.0,348.9, 70.3, 0.0
418,13,19,12,830,64.7, 16.8, 131.8,0.0, 74.1, 0.0,350.0, 74.1, 0.0
