id,hour,min,sec,ms,xpos,ypos,zpos,uMousePos,vMousePos,wMousePos,uGazePos,vGazePos,wGazePos
16,15,12,50,831,80.8, 17.6, 134.0,0.0, 264.0, 0.0,357.7, 264.0, 0.0
17,15,12,51,334,80.1, 17.7, 133.9,0.0, 262.7, 0.0,358.1, 262.7, 0.0
18,15,12,51,849,79.3, 17.8, 133.8,0.0, 262.7, 0.0,358.1, 262.7, 0.0
19,15,12,52,391,80.2, 17.7, 133.9,0.0, 262.7, 0.0,358.1, 262.7, 0.0
20,15,12,52,899,79.5, 17.8, 133.8,0.0, 262.7, 0.0,358.1, 262.7, 0.0
21,15,12,53,411,76.9, 17.7, 133.5,0.0, 262.7, 0.0,358.1, 262.7, 0.0
22,15,12,53,914,74.4, 17.5, 133.0,0.0, 257.7, 0.0,354.2, 257.7, 0.0
23,15,12,54,441,71.9, 17.1, 132.4,0.0, 250.4, 0.0,356.3, 250.4, 0.0
24,15,12,54,963,69.5, 16.9, 131.6,0.0, 250.0, 0.0,354.4, 250.0, 0.0
25,15,12,55,481,67.0, 16.7, 130.7,0.0, 250.0, 0.0,354.4, 250.0, 0.0
26,15,12,56,8,64.6, 16.5, 129.9,0.0, 249.8, 0.0,354.4, 249.8, 0.0
27,15,12,56,512,62.2, 16.4, 129.0,0.0, 248.6, 0.0,353.9, 248.6, 0.0
28,15,12,57,16,59.8, 16.3, 128.0,0.0, 247.3, 0.0,354.0, 247.3, 0.0
29,15,12,57,542,57.4, 16.2, 127.0,0.0, 245.7, 0.0,354.5, 245.7, 0.0
30,15,12,58,48,55.2, 16.2, 126.0,0.0, 244.1, 0.0,354.4, 244.1, 0.0
31,15,12,58,554,52.8, 16.2, 124.8,0.0, 245.7, 0.0,353.5, 245.7, 0.0
32,15,12,59,74,50.5, 16.4, 123.7,0.0, 236.6, 0.0,353.3, 236.6, 0.0
33,15,12,59,597,48.4, 16.5, 122.1,0.0, 232.9, 0.0,353.3, 232.9, 0.0
34,15,13,00,123,46.4, 16.7, 120.6,0.0, 232.9, 0.0,353.3, 232.9, 0.0
35,15,13,00,628,44.5, 16.9, 118.9,0.0, 226.4, 0.0,353.6, 226.4, 0.0
36,15,13,01,150,42.5, 17.1, 117.1,0.0, 227.2, 0.0,355.6, 227.2, 0.0
37,15,13,01,682,40.7, 17.3, 115.3,0.0, 227.1, 0.0,355.7, 227.1, 0.0
38,15,13,02,195,38.8, 17.5, 113.5,0.0, 226.5, 0.0,356.3, 226.5, 0.0
39,15,13,02,720,36.9, 17.6, 111.7,0.0, 230.6, 0.0,347.9, 230.6, 0.0
40,15,13,03,242,35.1, 17.6, 109.9,0.0, 203.1, 0.0,348.0, 203.1, 0.0
41,15,13,03,757,33.8, 17.6, 107.7,0.0, 168.6, 0.0,348.5, 168.6, 0.0
42,15,13,04,261,33.5, 17.5, 105.3,0.0, 97.4, 0.0,350.7, 97.4, 0.0
43,15,13,04,777,32.3, 17.4, 103.0,0.0, 88.6, 0.0,354.6, 88.6, 0.0
44,15,13,05,281,30.7, 17.2, 101.1,0.0, 196.2, 0.0,355.1, 196.2, 0.0
45,15,13,05,794,29.8, 17.1, 98.7,0.0, 196.7, 0.0,354.4, 196.7, 0.0
46,15,13,06,304,28.6, 17.1, 96.6,0.0, 218.3, 0.0,353.8, 218.3, 0.0
47,15,13,06,830,27.2, 17.3, 94.3,0.0, 207.7, 0.0,353.6, 207.7, 0.0
48,15,13,07,340,26.3, 17.5, 92.0,0.0, 182.9, 0.0,350.9, 182.9, 0.0
49,15,13,07,871,25.3, 17.7, 89.5,0.0, 171.8, 0.0,351.2, 171.8, 0.0
50,15,13,08,375,24.2, 17.7, 87.3,0.0, 157.4, 0.0,351.3, 157.4, 0.0
51,15,13,08,893,22.9, 17.5, 85.0,0.0, 145.0, 0.0,351.3, 145.0, 0.0
52,15,13,09,411,22.4, 17.5, 82.5,0.0, 145.0, 0.0,350.3, 145.0, 0.0
53,15,13,09,920,22.1, 17.5, 80.0,0.0, 124.1, 0.0,349.3, 124.1, 0.0
54,15,13,10,441,20.8, 17.5, 77.8,0.0, 209.1, 0.0,348.8, 209.1, 0.0
55,15,13,10,945,20.3, 17.8, 75.5,0.0, 259.3, 0.0,354.5, 259.3, 0.0
56,15,13,11,459,19.6, 18.0, 73.1,0.0, 261.4, 0.0,354.8, 261.4, 0.0
57,15,13,11,969,18.9, 18.3, 70.8,0.0, 207.5, 0.0,356.6, 207.5, 0.0
58,15,13,12,483,18.7, 18.9, 68.3,0.0, 167.0, 0.0,7.1, 167.0, 0.0
59,15,13,13,5,19.2, 18.7, 65.8,0.0, 159.1, 0.0,9.9, 159.1, 0.0
60,15,13,13,508,18.9, 18.7, 63.3,0.0, 159.1, 0.0,9.9, 159.1, 0.0
61,15,13,14,18,17.8, 18.7, 61.0,0.0, 236.7, 0.0,1.4, 236.7, 0.0
62,15,13,14,526,18.0, 18.7, 58.7,0.0, 236.7, 0.0,1.4, 236.7, 0.0
63,15,13,15,30,18.3, 18.7, 56.2,0.0, 281.4, 0.0,0.8, 281.4, 0.0
64,15,13,15,531,18.2, 18.7, 53.8,0.0, 298.4, 0.0,358.8, 298.4, 0.0
65,15,13,16,51,18.7, 18.7, 51.3,0.0, 282.0, 0.0,353.0, 282.0, 0.0
66,15,13,16,568,19.2, 18.7, 48.9,0.0, 244.3, 0.0,357.8, 244.3, 0.0
67,15,13,17,85,18.6, 18.7, 46.3,0.0, 235.3, 0.0,358.1, 235.3, 0.0
68,15,13,17,586,19.2, 18.7, 44.0,0.0, 186.4, 0.0,358.2, 186.4, 0.0
69,15,13,18,101,19.1, 18.7, 41.5,0.0, 215.8, 0.0,1.4, 215.8, 0.0
