id,hour,min,sec,ms,xpos,ypos,zpos,uMousePos,vMousePos,wMousePos,uGazePos,vGazePos,wGazePos
0,14,36,40,949,15.3, 7.6, 40.1,0.0, 0.0, 0.0,7.0, 11.7, 4.6
1,14,36,41,701,15.3, 7.8, 40.1,0.0, 0.0, 0.0,7.0, 11.7, 4.6
2,14,36,42,208,15.3, 7.8, 40.1,0.0, 0.0, 0.0,7.0, 11.7, 4.6
3,14,36,42,716,15.3, 7.8, 40.1,0.0, 0.0, 0.0,7.0, 11.7, 4.6
4,14,36,43,223,15.3, 7.8, 40.1,0.0, 0.0, 0.0,7.0, 11.7, 4.6
5,14,36,43,730,15.3, 7.8, 40.1,0.0, 0.0, 0.0,7.0, 11.7, 4.6
6,14,36,44,237,15.3, 7.8, 40.1,0.0, 0.0, 0.0,7.0, 11.7, 4.6
7,14,36,44,745,15.3, 7.8, 40.1,0.0, 0.0, 0.0,7.0, 11.7, 4.6
8,14,36,45,251,15.3, 7.8, 40.1,0.0, 0.0, 0.0,7.0, 11.7, 4.6
9,14,36,45,758,15.3, 7.8, 40.1,0.0, 0.0, 0.0,7.0, 11.7, 4.6
10,14,36,46,264,15.3, 7.8, 40.1,0.0, 0.0, 0.0,7.0, 11.7, 4.6
11,14,36,46,770,15.3, 7.8, 40.1,0.0, 0.0, 0.0,7.0, 11.7, 4.6
12,14,36,47,279,15.3, 7.8, 40.1,0.0, 0.0, 0.0,7.0, 11.7, 4.6
13,14,36,47,784,15.3, 7.8, 40.1,0.0, 339.3, 0.0,318.6, 346.4, 6.1
14,14,36,48,291,15.3, 7.8, 40.1,0.0, 339.3, 0.0,318.5, 346.4, 6.1
15,14,36,48,798,15.3, 7.8, 40.1,0.0, 346.2, 0.0,308.5, 351.6, 7.3
16,14,36,49,305,15.3, 7.8, 40.1,0.0, 346.2, 0.0,308.5, 351.6, 7.3
17,14,36,49,811,15.3, 7.8, 40.1,0.0, 346.2, 0.0,308.5, 351.6, 7.3
18,14,36,50,318,15.3, 7.8, 40.1,0.0, 346.2, 0.0,308.5, 351.6, 7.3
19,14,36,50,824,15.3, 7.8, 40.1,0.0, 346.2, 0.0,308.5, 351.6, 7.3
20,14,36,51,332,15.3, 7.8, 40.1,0.0, 346.2, 0.0,308.5, 351.6, 7.3
21,14,36,51,839,15.3, 7.8, 40.1,0.0, 346.2, 0.0,308.5, 351.6, 7.3
22,14,36,52,345,15.3, 7.8, 40.1,0.0, 346.2, 0.0,308.5, 351.6, 7.3
23,14,36,52,851,15.3, 7.8, 40.1,0.0, 334.4, 0.0,307.5, 339.6, 7.5
24,14,36,53,358,15.3, 7.8, 40.1,0.0, 334.4, 0.0,307.5, 339.6, 7.5
25,14,36,53,864,15.3, 7.8, 40.1,0.0, 334.4, 0.0,307.5, 339.6, 7.5
26,14,36,54,371,15.3, 7.8, 40.1,0.0, 323.6, 0.0,277.3, 239.6, 96.0
