id,hour,min,sec,ms,xpos,ypos,zpos,uMousePos,vMousePos,wMousePos,uGazePos,vGazePos,wGazePos
58,15,02,10,328,80.8, 17.6, 134.0,0.0, 233.6, 0.0,280.5, 152.6, 97.9
59,15,02,10,831,79.3, 17.8, 133.3,0.0, 233.6, 0.0,280.5, 152.6, 97.9
60,15,02,11,339,77.0, 17.6, 132.3,0.0, 235.4, 0.0,280.5, 154.4, 97.9
61,15,02,11,847,74.7, 17.3, 132.0,0.0, 227.7, 0.0,280.6, 147.2, 97.4
62,15,02,12,352,72.6, 16.9, 130.8,0.0, 225.0, 0.0,280.5, 147.8, 94.2
63,15,02,12,871,70.1, 16.7, 130.5,0.0, 224.4, 0.0,280.5, 147.2, 94.2
64,15,02,13,379,67.6, 16.6, 129.8,0.0, 224.4, 0.0,280.5, 147.2, 94.2
65,15,02,13,886,65.6, 16.4, 128.4,0.0, 225.7, 0.0,280.5, 152.9, 89.9
66,15,02,14,395,63.5, 16.2, 127.0,0.0, 233.6, 0.0,280.7, 173.2, 77.7
67,15,02,14,901,61.3, 16.0, 126.0,0.0, 229.4, 0.0,280.8, 169.5, 77.2
68,15,02,15,403,59.1, 15.9, 124.9,0.0, 224.9, 0.0,280.9, 167.1, 75.1
69,15,02,15,910,56.7, 15.8, 124.3,0.0, 218.3, 0.0,281.1, 165.0, 70.7
70,15,02,16,420,54.2, 15.9, 123.6,0.0, 215.9, 0.0,281.5, 167.8, 65.6
71,15,02,16,926,51.9, 16.2, 122.7,0.0, 215.3, 0.0,282.0, 172.0, 60.9
72,15,02,17,433,50.3, 16.3, 120.9,0.0, 211.1, 0.0,283.4, 176.9, 52.0
73,15,02,17,941,47.8, 16.6, 120.0,0.0, 221.6, 0.0,283.5, 188.1, 51.3
74,15,02,18,448,46.2, 16.7, 118.2,0.0, 217.3, 0.0,283.7, 185.1, 50.1
75,15,02,18,953,44.2, 16.9, 116.8,0.0, 211.1, 0.0,285.4, 185.9, 43.3
76,15,02,19,471,42.8, 17.0, 114.6,0.0, 207.0, 0.0,288.3, 189.9, 35.6
77,15,02,19,978,40.6, 17.3, 113.3,0.0, 196.8, 0.0,289.7, 182.8, 32.6
78,15,02,20,486,38.7, 17.4, 111.7,0.0, 195.8, 0.0,293.0, 187.0, 27.7
79,15,02,20,993,36.7, 17.5, 110.2,0.0, 195.5, 0.0,295.2, 189.4, 25.3
80,15,02,21,502,34.9, 17.6, 108.4,0.0, 191.1, 0.0,296.4, 186.2, 24.2
81,15,02,22,5,33.5, 17.5, 106.4,0.0, 199.0, 0.0,295.5, 193.2, 25.1
82,15,02,22,516,32.3, 17.4, 104.1,0.0, 199.2, 0.0,295.5, 193.5, 25.0
83,15,02,23,33,30.5, 17.2, 102.5,0.0, 195.3, 0.0,295.5, 189.5, 25.1
84,15,02,23,542,29.1, 17.0, 100.5,0.0, 189.6, 0.0,295.2, 183.5, 25.3
85,15,02,24,60,28.5, 16.9, 98.0,0.0, 190.2, 0.0,294.6, 183.4, 25.9
86,15,02,24,581,26.6, 17.0, 96.2,0.0, 193.1, 0.0,296.2, 188.0, 24.4
87,15,02,25,100,25.8, 17.2, 93.8,0.0, 192.9, 0.0,297.6, 189.2, 23.1
88,15,02,25,621,25.2, 17.5, 91.3,0.0, 193.0, 0.0,301.5, 192.5, 20.4
89,15,02,26,140,24.5, 17.6, 88.8,0.0, 196.3, 0.0,309.9, 200.6, 16.5
90,15,02,26,648,24.2, 17.7, 86.4,0.0, 207.9, 0.0,316.7, 214.9, 14.5
91,15,02,27,168,23.6, 17.7, 83.9,0.0, 206.2, 0.0,316.9, 213.3, 14.4
92,15,02,27,674,23.0, 17.6, 81.5,0.0, 200.0, 0.0,318.1, 207.5, 14.2
93,15,02,28,185,21.9, 17.5, 79.3,0.0, 196.7, 0.0,318.3, 204.3, 14.1
94,15,02,28,687,20.5, 17.6, 77.3,0.0, 189.6, 0.0,320.3, 197.8, 13.7
95,15,02,29,195,19.4, 17.8, 75.0,0.0, 183.8, 0.0,322.5, 192.7, 13.3
96,15,02,29,701,18.8, 18.0, 72.7,0.0, 175.6, 0.0,335.6, 187.8, 11.5
97,15,02,30,208,18.4, 18.4, 70.2,0.0, 174.5, 0.0,338.6, 187.4, 11.3
98,15,02,30,715,18.6, 18.9, 67.7,0.0, 178.5, 0.0,345.8, 192.9, 10.8
99,15,02,31,218,18.6, 18.7, 65.2,0.0, 182.4, 0.0,347.1, 197.0, 10.8
100,15,02,31,725,18.4, 18.7, 62.8,0.0, 187.1, 0.0,347.0, 201.7, 10.8
101,15,02,32,233,18.0, 18.7, 60.3,0.0, 186.8, 0.0,347.0, 201.4, 10.8
102,15,02,32,752,17.8, 18.7, 57.7,0.0, 180.6, 0.0,347.9, 195.4, 10.7
103,15,02,33,258,18.2, 18.7, 55.1,0.0, 180.5, 0.0,347.9, 195.3, 10.7
104,15,02,33,768,18.3, 18.7, 52.7,0.0, 179.8, 0.0,348.5, 194.7, 10.7
105,15,02,34,274,18.3, 18.7, 50.2,0.0, 179.8, 0.0,348.5, 194.7, 10.7
106,15,02,34,782,18.4, 18.7, 47.6,0.0, 179.3, 0.0,348.9, 194.3, 10.7
107,15,02,35,289,18.4, 18.7, 45.1,0.0, 179.1, 0.0,348.9, 194.1, 10.7
108,15,02,35,796,18.4, 18.7, 42.5,0.0, 179.1, 0.0,348.9, 194.1, 10.7
109,15,02,36,303,18.5, 18.7, 40.0,0.0, 179.1, 0.0,348.9, 194.1, 10.7
110,15,02,36,813,18.6, 18.7, 37.5,0.0, 174.2, 0.0,349.0, 189.2, 10.7
111,15,02,37,314,18.9, 18.7, 35.0,0.0, 168.3, 0.0,347.2, 183.0, 10.8
112,15,02,37,821,19.4, 18.7, 32.5,0.0, 170.6, 0.0,347.4, 185.3, 10.8
113,15,02,38,328,19.2, 18.7, 30.0,0.0, 170.6, 0.0,347.4, 185.3, 10.8
114,15,02,38,836,19.5, 18.7, 27.4,0.0, 180.8, 0.0,346.4, 195.3, 10.8
115,15,02,39,342,19.6, 18.7, 25.0,0.0, 181.8, 0.0,346.2, 196.2, 10.8
116,15,02,39,849,19.5, 18.7, 22.5,0.0, 181.8, 0.0,346.2, 196.2, 10.8
117,15,02,40,353,20.0, 18.7, 20.0,0.0, 181.8, 0.0,346.2, 196.2, 10.8
