id,hour,min,sec,ms,xpos,ypos,zpos,uMousePos,vMousePos,wMousePos,uGazePos,vGazePos,wGazePos
0,13,15,35,111,80.8, 18.8, 134.0,0.0, 238.7, 0.0,0.0, 238.7, 0.0
1,13,15,37,358,80.8, 17.6, 134.0,0.0, 238.7, 0.0,0.0, 238.7, 0.0
2,13,15,37,870,80.8, 17.6, 134.0,0.0, 238.7, 0.0,0.0, 238.7, 0.0
3,13,15,38,379,80.8, 17.6, 134.0,0.0, 238.7, 0.0,0.0, 238.7, 0.0
4,13,15,38,890,80.8, 17.6, 134.0,0.0, 238.7, 0.0,0.0, 238.7, 0.0
5,13,15,39,404,80.8, 17.6, 134.0,0.0, 238.7, 0.0,0.0, 238.7, 0.0
6,13,15,39,936,80.8, 17.6, 134.0,0.0, 238.7, 0.0,0.0, 238.7, 0.0
7,13,15,40,491,80.8, 17.6, 134.0,0.0, 238.7, 0.0,0.0, 238.7, 0.0
8,13,15,41,17,80.8, 17.6, 134.0,0.0, 238.7, 0.0,0.0, 238.7, 0.0
9,13,15,41,554,80.8, 17.6, 134.0,0.0, 238.7, 0.0,0.0, 238.7, 0.0
10,13,15,42,54,80.8, 17.6, 134.0,0.0, 238.7, 0.0,0.0, 238.7, 0.0
11,13,15,42,592,80.8, 17.6, 134.0,0.0, 239.0, 0.0,343.8, 239.0, 0.0
12,13,15,43,103,80.8, 17.6, 134.0,0.0, 233.3, 0.0,332.2, 233.3, 0.0
13,13,15,43,624,80.8, 17.6, 134.0,0.0, 238.4, 0.0,6.4, 238.4, 0.0
14,13,15,44,158,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
15,13,15,44,688,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
16,13,15,45,213,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
17,13,15,45,746,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
18,13,15,46,281,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
19,13,15,46,818,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
20,13,15,47,333,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
21,13,15,47,866,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
22,13,15,48,393,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
23,13,15,48,899,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
24,13,15,49,404,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
25,13,15,49,908,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
26,13,15,50,417,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
27,13,15,50,930,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
28,13,15,51,443,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
29,13,15,51,955,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
30,13,15,52,493,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
31,13,15,53,28,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
32,13,15,53,568,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
33,13,15,54,81,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
34,13,15,54,587,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
35,13,15,55,104,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
36,13,15,55,612,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
37,13,15,56,136,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
38,13,15,56,686,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
39,13,15,57,204,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
40,13,15,57,742,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
41,13,15,58,249,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
42,13,15,58,779,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
43,13,15,59,295,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
44,13,15,59,835,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
45,13,16,00,370,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
46,13,16,00,887,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
47,13,16,01,404,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
48,13,16,01,906,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
49,13,16,02,410,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
50,13,16,02,956,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
51,13,16,03,476,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
52,13,16,04,15,80.8, 17.6, 134.0,0.0, 238.4, 0.0,4.5, 238.4, 0.0
